"Study GUID","Guideline ID","Part / document","Reference ID","Reference"
"CG73ST74","CG73","","ST74","74    Arm JP, Peile EB, Rainford DJ et al. Significance of dipstick haematuria. 1. Correlation with microscopy of the urine. British Journal of Urology. 1986; 58(2):211–217."
"CG73ST75","CG73","","ST75","75    Pugia MJ, Wallace JF, Lott JA et al. Albuminuria and proteinuria in hospitalized patients as measured by quantitative and dipstick methods. Journal of Clinical Laboratory Analysis. 2001; 15(5):295–300."
"CG73ST76","CG73","","ST76","76    Konta T, Hao Z, Takasaki S et al. Clinical utility of trace proteinuria for microalbuminuria screening in the general population. Clinical & Experimental Nephrology. 2007; 11(1):51–55."
"CG73ST77","CG73","","ST77","77    Gilbert RE, Akdeniz A, Jerums G. Detection of microalbuminuria in diabetic patients by urinay dipstick. Diabetes Research & Clinical Practice. 1997; 35(1):57–60."
"CG73ST78","CG73","","ST78","78    CortesSanabria L, MartinezRamirez HR, Hernandez JL et al. Utility of the dipstick micraltest II in the screening of microalbuminuria of diabetes mellitus type 2 and essential hypertension. Revista de Investigacion Clinica. 2006; 58(3):190–197."
"CG73ST79","CG73","","ST79","79    Waugh JJ, Bell SC, Kilby MD et al. Optimal bedside urinalysis for the detection of proteinuria in hypertensive pregnancy: a study of diagnostic accuracy. BJOG: An International Journal of Obstetrics & Gynaecology. 2005; 112(4):412–417."
"CG73ST80","CG73","","ST80","80    Brown MA, Buddle ML. Inadequacy of dipstick proteinuria in hypertensive pregnancy. Australian & New Zealand Journal of Obstetrics & Gynaecology. 1995; 35(4):366–369."
"CG73ST81","CG73","","ST81","81    Higby K, Suiter CR, Siler KT. A comparison between two screening methods for detection of microproteinuria. American Journal of Obstetrics & Gynecology. 1995; 173(4):1111–1114."
"CG73ST82","CG73","","ST82","82    Meyer NL, Mercer BM, Friedman SA et al. Urinary dipstick protein: a poor predictor of absent or severe proteinuria. American Journal of Obstetrics & Gynecology. 1994; 170(1:Pt 1):137–141."
"CG73ST83","CG73","","ST83","83    Paruk F, Moodley J, Daya PK et al. Screening for proteinuria in hypertensive disorders of pregnancy. Journal of Obstetrics & Gynaecology. 1997; 17(6):528–530."
"CG73ST84","CG73","","ST84","84    Saudan PJ, Brown MA, Farrell T et al. Improved methods of assessing proteinuria in hypertensive pregnancy. British Journal of Obstetrics & Gynaecology. 1997; 104(10):1159–1164."
"CG73ST85","CG73","","ST85","85    Gai M, Motta D, Giunti S et al. Comparison between 24-h proteinuria, urinary protein/creatinine ratio and dipstick test in patients with nephropathy: Patterns of proteinuria in dipstick-negative patients. Scandinavian Journal of Clinical & Laboratory Investigation. 2006; 66(4):299–308."
"CG73ST86","CG73","","ST86","86  Agarwal R, Panesar A, Lewis RR. Dipstick proteinuria: Can it guide hypertension management? American Journal of Kidney Diseases. 2002; 39(6):1190–1195."
"CG73ST87","CG73","","ST87","87  Tissot E, Woronoff-Lemsi MC, Cornette C et al. Cost-effectiveness of urinary dipsticks to screen asymptomatic catheter-associated urinary infections in an intensive care unit. Intensive Care Med. 2001; 27(12):1842–1847."
"CG73ST88","CG73","","ST88","88  Waugh J, Bell SC, Kilby M et al. Effect of concentration and biochemical assay on the accuracy of urine dipsticks in hypertensive pregnancies. Hypertension in Pregnancy. 2001; 20(2):205–217."
"CG73ST89","CG73","","ST89","89  Dube J, Girouard J, Leclerc P et al. Problems with the estimation of urine protein by automated assays. Clinical Biochemistry. 2005; 38(5):479–485."
"CG73ST90","CG73","","ST90","90  Ballantyne FC, Gibbons J, O’Reilly DS. Urine albumin should replace total protein for the assessment of glomerular proteinuria. Annals of Clinical Biochemistry. 1993; 30(Pt 1):101–103."
"CG73ST91","CG73","","ST91","91  Shihabi ZK, Konen JC, O’Connor ML. Albuminuria vs urinary total protein for detecting chronic renal disorders. Clinical Chemistry. 1991; 37(5):621–624."
"CG73ST92","CG73","","ST92","92  Price CP, Newall RG, Boyd JC. Use of protein:creatinine ratio measurements on random urine samples for prediction of significant proteinuria: a systematic review. Clinical Chemistry. 2005; 51(9):1577–1586."
"CG73ST93","CG73","","ST93","93  Foster MC, Hwang SJ, Larson MG et al. Cross-classification of microalbuminuria and reduced glomerular filtration rate: associations between cardiovascular disease risk factors and clinical outcomes. Arch Intern Med. 2007; 167(13):1386–1392."
"CG73ST94","CG73","","ST94","94  Hallan S, Astor B, Romundstad S et al. Association of kidney function and albuminuria with cardiovascular mortality in older vs younger individuals: The HUNT II Study. Arch Intern Med. 2007; 167(22):2490–2496."
"CG73ST95","CG73","","ST95","95  Cirillo M, Lanti MP, Menotti A et al. Definition of kidney dysfunction as a cardiovascular risk factor: use of urinary albumin excretion and estimated glomerular filtration rate. Arch Intern Med. 2008; 168(6): 617–624."
"CG73ST96","CG73","","ST96","96  Brantsma AH, Bakker SJ, de ZD et al. Extended prognostic value of urinary albumin excretion for cardiovascular events. Journal of the American Society of Nephrology. 2008; advance e-publication."
"CG73ST97","CG73","","ST97","97  Brantsma AH, Atthobari J, Bakker SJ et al. What predicts progression and regression of urinary albumin excretion in the nondiabetic population? Journal of the American Society of Nephrology. 2007; 18(2): 637–645."
"CG73ST98","CG73","","ST98","98  Rodby RA, Rohde RD, Sharon Z et al. The urine protein to creatinine ratio as a predictor of 24-hour urine protein excretion in type 1 diabetic patients with nephropathy. The Collaborative Study Group. American Journal of Kidney Diseases. 1995; 26(6):904–909."
"CG73ST99","CG73","","ST99","99  Ruggenenti P, Gaspari F, Perna A et al. Cross sectional longitudinal study of spot morning urine protein: Creatinine ratio, 24 hour urine protein excretion rate, glomerular filtration rate, and end stage renal failure in chronic renal disease in patients without diabetes. British Medical Journal. 1998; 316(7130):504–509."
"CG73ST100","CG73","","ST100","100  Gatling W, Knight C, Mullee MA et al. Microalbuminuria in diabetes: A population study of the prevalence and an assessment of three screening tests. Diabetic Medicine. 1988; 5(4):343–347."
"CG73ST101","CG73","","ST101","101  Hutchison AS, O’Reilly DSJ, MacCuish AC. Albumin excretion rate, albumin concentration, and albumin/creatinine ratio compared for screening diabetics for slight albuminuria. Clinical Chemistry. 1988; 34(10):2019–2021."
"CG73ST102","CG73","","ST102","102  Marshall SM. Screening for microalbuminuria: Which measurement? Diabetic Medicine. 1991; 8(8): 706–711."
"CG73ST103","CG73","","ST103","103  Chaiken RL, Khawaja R, Bard M et al. Utility of untimed urinary albumin measurements in assessing albuminuria in black NIDDM subjects. Diabetes Care. 1997; 20(5):709–713."
"CG73ST104","CG73","","ST104","104  Gansevoort RT, Verhave JC, Hillege HL et al. The validity of screening based on spot morning urine samples to detect subjects with microalbuminuria in the general population. Kidney International – Supplement. 2005; 67(94):S28–S35."
"CG73ST105","CG73","","ST105","105  Jafar TH, Chaturvedi N, Hatcher J et al. Use of albumin creatinine ratio and urine albumin concentration as a screening test for albuminuria in an Indo-Asian population.[see comment]. Nephrology Dialysis and Transplantation. 2007; 22(8):2194–2200."
"CG73ST106","CG73","","ST106","106  Atkins RC, Briganti EM, Zimmet PZ et al. Association between albuminuria and proteinuria in the general population: the AusDiab Study. Nephrology Dialysis and Transplantation. 2003; 18(10):2170–2174."
"CG73ST107","CG73","","ST107","107  Newman DJ, Thakkar H, Medcalf EA et al. Use of urine albumin measurement as a replacement for total protein. Clinical Nephrology. 1995; 43(2):104–109."
"CG73ST108","CG73","","ST108","108  MacGregor MS, Traynor JP, O’Reilly DSJ et al. Assessing proteinuria in chronic kidney disease: protein–creatinine ratio versus albumin–creatinine ratio. 2007, personal correspondence."
"CG73ST109","CG73","","ST109","109  Lum G. How effective are screening tests for microalbuminuria in random urine specimens? Annals of Clinical & Laboratory Science. 2000; 30(4):406–411."
"CG73ST110","CG73","","ST110","110  Chitalia VC, Kothari J, Wells EJ et al. Cost-benefit analysis and prediction of 24-hour proteinuria from the spot urine protein–creatinine ratio. Clinical Nephrology. 2001; 55(6):436–447."
"CG73ST111","CG73","","ST111","111  Bush WH, Choyke BL, Bluth RI, Casalino DD. Renal failure. National Guidelines Clearing House, 2005. www.guideline.gov"
"CG73ST112","CG73","","ST112","112  Lindeman RD, Tobin J, Shock NW. Longitudinal studies on the rate of decline in renal function with age. Journal of the American Geriatrics Society. 1985; 33(4):278–285."
"CG73ST113","CG73","","ST113","113  Garg AX, Papaioannou A, Ferko N et al. Estimating the prevalence of renal insufficiency in seniors requiring long-term care. Kidney International. 2004; 65(2):649–653."
"CG73ST114","CG73","","ST114","114  Iseki K, Ikemiya Y, Iseki C et al. Proteinuria and the risk of developing end-stage renal disease. Kidney International. 2003; 63(4):1468–1474."
"CG73ST115","CG73","","ST115","115  Klausen K, Borch JK, Feldt RB et al. Very low levels of microalbuminuria are associated with increased risk of coronary heart disease and death independently of renal function, hypertension, and diabetes. Circulation. 2004; 110(1):32–35."
"CG73ST116","CG73","","ST116","116  Hillege HL, Fidler V, Diercks GF et al. Urinary albumin excretion predicts cardiovascular and noncardiovascular mortality in general population. Circulation. 2002; 106(14):1777–1782."
"CG73ST117","CG73","","ST117","117  Arnlov J, Evans JC, Meigs JB et al. Low-grade albuminuria and incidence of cardiovascular disease events in nonhypertensive and nondiabetic individuals: the Framingham Heart Study. Circulation. 2005; 112(7): 969–975."
"CG73ST118","CG73","","ST118","118  Rahman M, Pressel S, Davis BR et al. Cardiovascular outcomes in high-risk hypertensive patients stratified by baseline glomerular filtration rate.[see comment][summary for patients in Ann Intern Med. 2006 Feb 7; 144(3):I33; PMID: 16461958]. Annals of Internal Medicine. 2006; 144(3):172–180."
"CG73ST119","CG73","","ST119","119  Tokmakova MP, Skali H, Kenchaiah S et al. Chronic kidney disease, cardiovascular risk, and response to angiotensin-converting enzyme inhibition after myocardial infarction: the Survival And Ventricular Enlargement (SAVE) study. Circulation. 2004; 110(24):3667–3673."
"CG73ST120","CG73","","ST120","120  Wright RS, Reeder GS, Herzog CA et al. Acute myocardial infarction and renal dysfunction: a high-risk combination. Annals of Internal Medicine. 2002; 137(7):563–570."
"CG73ST121","CG73","","ST121","121  Hillege HL, Nitsch D, Pfeffer MA et al. Renal function as a predictor of outcome in a broad spectrum of patients with heart failure. Circulation. 2006; 113(5):671–678."
"CG73ST122","CG73","","ST122","122  Keough RMT, Kiberd BA, Dipchand CS et al. Outcomes of acute coronary syndrome in a large Canadian cohort: impact of chronic renal insufficiency, cardiac interventions, and anemia. American Journal of Kidney Diseases. 2005; 46(5):845–855."
"CG73ST123","CG73","","ST123","123  Beddhu S, Allen BK, Cheung AK et al. Impact of renal failure on the risk of myocardial infarction and death. Kidney International. 2002; 62(5):1776–1783."
"CG73ST124","CG73","","ST124","124  Kurella M, Yaffe K, Shlipak MG et al. Chronic kidney disease and cognitive impairment in menopausal women. American Journal of Kidney Diseases. 2005; 45(1):66–76."
"CG73ST125","CG73","","ST125","125  O’Hare AM, Bertenthal D, Shlipak MG et al. Impact of renal insufficiency on mortality in advanced lower extremity peripheral arterial disease. Journal of the American Society of Nephrology. 2005; 16(2):514–519."
"CG73ST126","CG73","","ST126","126  Gullion CM, Keith DS, Nichols GA et al. Impact of comorbidities on mortality in managed care patients with CKD. American Journal of Kidney Diseases. 2006; 48(2):212–220."
"CG73ST127","CG73","","ST127","127  McCullough PA, Jurkovitz CT, Pergola PE et al. Independent components of chronic kidney disease as a cardiovascular risk state: results from the Kidney Early Evaluation Program (KEEP). Arch Internal Medicine. 2007; 167(11):1122–1129."
"CG73ST128","CG73","","ST128","128  Wattanakit K, Folsom AR, Selvin E et al. Kidney function and risk of peripheral arterial disease: Results from the Atherosclerosis Risk in Communities (ARIC) study. Journal of the American Society of Nephrology. 2007; 18(2):629–636."
"CG73ST129","CG73","","ST129","129  Patel UD, Young EW, Ojo AO et al. CKD progression and mortality among older patients with diabetes. American Journal of Kidney Diseases. 2005; 46(3):406–414."
"CG73ST130","CG73","","ST130","130  So WY, Kong AP, Ma RC et al. Glomerular filtration rate, cardiorenal end points, and all-cause mortality in type 2 diabetic patients. Diabetes Care. 2006; 29(9):2046–2052."
"CG73ST131","CG73","","ST131","131  Nag S, Bilous R, Kelly  W et al. All-cause  and cardiovascular mortality in diabetic  subjects increases significantly with reduced estimated glomerular filtration rate (eGFR): 10 years’ data from the South Tees Diabetes Mortality study. Diabetic Medicine. 2007; 24(1):10–17."
"CG73ST132","CG73","","ST132","132  Shlipak MG, Stehman BC, Fried LF et al. The presence of frailty in elderly persons with chronic renal insufficiency. American Journal of Kidney Diseases. 2004; 43(5):861–867."
"CG73ST133","CG73","","ST133","133  Kurella M, Chertow GM, Fried LF et al. Chronic kidney disease and cognitive impairment in the elderly: the health, aging, and body composition study. Journal of the American Society of Nephrology. 2005; 16(7): 2127–2133."
"CG73ST134","CG73","","ST134","134  Iseki K, Kinjo K, Iseki C et al. Relationship between predicted creatinine clearance and proteinuria and the risk of developing ESRD in Okinawa, Japan. American Journal of Kidney Diseases. 2004; 44(5):806–814."
"CG73ST135","CG73","","ST135","135  Eriksen BO, Ingebretsen OC. The progression of chronic kidney disease: A 10-year population-based study of the effects of gender and age. Kidney International. 2006; 69(2):375–382."
"CG73ST136","CG73","","ST136","136  O’Hare AM, Bertenthal D, Covinsky KE et al. Mortality risk stratification in chronic kidney disease: one size for all ages? Journal of the American Society of Nephrology. 2006; 17(3):846–853."
"CG73ST137","CG73","","ST137","137  O’Hare AM, Choi AI, Bertenthal D et al. Age affects outcomes in chronic kidney disease. Journal of the American Society of Nephrology. 2007; 18(10):2758–2765."
"CG73ST138","CG73","","ST138","138  National Kidney Foundation. Kidney early evaluation program (KEEP). Available from: National Kidney Foundation, www.kidney.org.uk. Last accessed on: Feb. 27, 2008."
