"Recommendation GUID","Guideline GUID","Full Guideline title","Rec ID (Full)","NICE Guideline title","Rec ID (NICE)","Recommendation body","Recommendation title","Rec Grade Code","Set ID","","Type","","","","","","","","","","","",""
"CG73R1.1.19","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R19","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.19","For the initial detection of proteinuria, if the ACR is 30 mg/mmol or more (this is approximately equivalent to PCR 50 mg/mmol or more, or a urinary protein excretion 0.5 g/24 h or more) and less than 70 mg/mmol (approximately equivalent to PCR less than 100 mg/mmol, or urinary protein excretion less than 1 g/24 h) this should be confirmed by a subsequent early morning sample. If the initial ACR is 70 mg/mmol or more, or the PCR 100 mg/mmol or more, a repeat sample need not be tested","Initial detection of proteinuria","","CG73S3","","","","","","","","","","","","","",""
"CG73R1.1.20","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R20","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.20","Regard a confirmed ACR of 3 mg/mmol or more as clinically  important proteinuria.","Clinically important proteinuria level","","CG73S3","","","","","","","","","","","","","",""
"CG73R1.1.20","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R20","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.20","Regard a confirmed ACR of 3 mg/mmol or more as clinically  important proteinuria.","Clinically important proteinuria level","","","","","","","","","","","","","","","",""
"CG73R1.1.20","CG73","","","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.20","Regard a confirmed ACR of 3 mg/mmol or more as clinically  important proteinuria.","Clinically important proteinuria level","","","","","","","","","","","","","","","",""
"CG73R1.1.21","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R21","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.21","Quantify urinary albumin or urinary protein loss as in recommendation 1.1.18 for: 
 people with diabetes 
 people without diabetes with a GFR less than 60 ml/min/1.73 m2. 
[2008, amended 2014] ","Quantification of urinary albumin or urinary protein loss","","CG73S3","","","","","","","","","","","","","",""
"CG73R1.1.22","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R22","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.22","Quantify by laboratory testing the urinary albumin or urinary protein loss of people with a GFR of 60 ml/min/1.73 m2 or more if there is a strong suspicion of CKD (see also recommendation 1.1.28). [2008] ","When to quantify urinary albumin or urinary protein loss","","CG73S3","","","","","","","","","","","","","",""
"CG73R1.1.23","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R23","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.23","When testing for the presence of haematuria, use reagent strips rather than urine microscopy.
● Evaluate further if there is a result of 1+ or more. 
● Do not use urine microscopy to confirm a positive result","Use of reagent strips for presence of haematuria","","CG73S3","","","","","","","","","","","","","",""
"CG73R1.1.24","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R24","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.24","When there is the need to differentiate persistent invisible haematuria in the absence of proteinuria from transient haematuria, regard 2 out of 3 positive reagent strip tests as confirmation of persistent invisible haematuria. ","Confirmation of persistent invisible haematuria","","CG73S3","","","","","","","","","","","","","",""
"CG73R1.1.25","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R25","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.25","Persistent invisible haematuria, with or without proteinuria, should prompt investigation for urinary tract malignancy in appropriate age groups.","Investigation for urinary tract malignancy","","CG73S3","","","","","","","","","","","","","",""
"CG73R1.1.26","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R26","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.26","Persistent invisible haematuria in the absence of proteinuria should be followed up annually with repeat testing for haematuria (see recommendations 1.1.24 and 1.1.25), proteinuria or albuminuria, GFR and blood pressure monitoring as long as the haematuria persists. [2008] 
","Follow up of persistent invisible haematuria","","","","","","","","","","","","","","","",""
"CG73R1.1.27","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R27","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.27","Monitor glomerular filtration rate (GFR) in people prescribed drugs known to be
nephrotoxic, such as calcineurin inhibitors and lithium. Check GFR at least annually in
people receiving long-term systemic non-steroidal anti-inflammatory drug (NSAID)
treatment","Monitoring of glomerular filtration rate","","CG73S7","","","","","","","","","","","","","",""
"CG73R1.1.28","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R28","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.28","Offer people testing for CKD if they have any of the following risk factors: 
diabetes 
 hypertension 
 acute kidney injury (see recommendation 1.3.8) 
 cardiovascular disease (ischaemic heart disease, chronic heart failure, peripheral vascular disease or cerebral vascular disease) 
 structural renal tract disease, renal calculi or prostatic hypertrophy 
 multisystem diseases with potential kidney involvement - for example, systemic lupus erythematosus 
 family history of stage 5 CKD or hereditary kidney disease 
 opportunistic detection of haematuria. [new 2014]
 
","When to offer testing for CKD","","CG73S7","","","","","","","","","","","","","",""
"CG73R1.1.29","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R29","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.29","Do not use age, gender or ethnicity as risk markers to test people for CKD. In the absence of metabolic syndrome, diabetes or hypertension, do not use obesity alone as a risk marker to test people for CKD. [2008, amended 2014] 
","Risk markers and CKD","","CG73S7","","","","","","","","","","","","","",""
"CG73R1.2.1","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R30","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.2.1","Classify CKD using a combination of GFR and ACR categories (as described in table 1). Be aware that: 
 increased ACR is associated with increased risk of progression 
 decreased GFR is associated with increased risk of progression 
 increased ACR and decreased GFR in combination multiply the risk of progression. [new 2014] 
","Classification of CKD","","CG73S7","","","","","","","","","","","","","",""
"CG73R1.2.2","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R31","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.2.2","For any given stage of CKD, do not determine management solely  by age. [new 2014] 
","Management of CKD and age","","CG73S7","","","","","","","","","","","","","",""
"CG73R1.2.3","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R32","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.2.3","After an informed discussion with the person with CKD, agree a plan to establish the cause (for example urinary tract obstruction,  nephrotoxic drugs or glomerular disease). [new 2014] 
","Discussion to establish cause of CKD","","CG73S8","","","","","","","","","","","","","",""
"CG73R1.2.4","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R33","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.2.4","Use the person’s GFR and ACR categories (see table 1) to indicate their risk of adverse outcomes (for example, CKD progression, acute kidney injury, all-cause mortality and cardiovascular events)  and discuss this with them. [new 2014] 
","Discussion of risk of adverse outcomes","","","","","","","","","","","","","","","",""
"CG73R1.2.5","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R34","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.2.5","Offer a renal ultrasound to all people with CKD who: 
 have progressive CKD (a sustained decrease in GFR of 25% or more and a change in GFR category, or a sustained decrease in GFR of 15 ml/min/1.73 m2 or more) 
 have visible or persistent invisible haematuria 
 have symptoms of urinary tract obstruction 
 have a family history of polycystic kidney disease and are aged over 20 years 
 have stage 4 or 5 CKD 
 are considered by a nephrologist to require a renal biopsy. [2008, amended 2014]","When to offer renal ultrasound","","CG73S5","","","","","","","","","","","","","",""
"CG73R1.2.6","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R35","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.2.6","Advise people with a family history of inherited kidney disease about the implications of an abnormal result before a renal ultrasound scan is arranged for them.","Family history and CKD","","CG73S5","","","","","","","","","","","","","",""
"CG73R1.1.16","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R16","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.16","All people with diabetes, and people without diabetes with a GFR less than 60 ml/min/1.73 m2, should have their urinary albumin/protein excretion quantified. The first abnormal result should be confirmed on an early morning sample (if not previously obtained).","Quantifiction of urinary albumin/protein excretion","","CG73S4","","","","","","","","","","","","","",""
"CG73R1.5.1","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R27","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.5.1","Take the following steps to identify progressive CKD:
● Obtain a minimum of three glomerular filtration rate (GFR) estimations over a period of not less than 90 days.
● In people with a new finding of reduced eGFR, repeat the estimated glomerular filtration rate (eGFR) within 2 weeks to exclude causes of acute deterioration of GFR, e.g. acute kidney injury or initiation of ACEI/ARB therapy ● Define progression as a decline in eGFR of >5 ml/min/1.73 m2 within one year, or
>10 ml/min/1.73 m2 within 5 years
● Focus particularly on those in whom a decline of GFR continuing at the observed rate would lead to the need for renal replacement therapy within their lifetime by extrapolating the current rate of decline.

","Identification of progressive CKD","","CG73S9","","","","","","","","","","","","","",""
"CG73R1.3.7","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R29","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.3.7","In people with CKD the chronic use of NSAIDs may 
be associated with progression and acute use is associated with a reversible decrease in GFR. Exercise caution when treating people with CKD with NSAIDs over prolonged periods of time. Monitor the effects on GFR, particularly in people with a low baseline GFR and/or in the presence of other risks for progression.","Progression and chronic use of NSAIDS","","CG73S10","","","","","","","","","","","","","",""
"CG73R1.7.1","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R64","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.7.1","Do not routinely measure calcium, phosphate, parathyroid hormone (PTH) and vitamin D levels  in people with stage 1, 2, 3a or 3b CKD.","Masurement in people with stage 1,2,3a,3b CKD","","CG73S11","","","","","","","","","","","","","",""
"CG73R1.7.2","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R65","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.7.2","Measure serum calcium, phosphate and PTH concentrations in people with stage 4 or 5 CKD (GFR less than 30 ml/min/1.73 m2 Determine the subsequent frequency of testing by the measured values and the clinical circumstances. Where doubt exists seek specialist opinion. ","Measurement in people with stage 4 or 5","","CG73S11","","","","","","","","","","","","","",""
"CG73R1.7.3","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R80","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.7.3"," Offer bisphosphonates if indicated for the prevention and treatment of osteoporosis in people  with stage 1, 2, 3a or 3b CKD.","Bisphosphonates for osteoporosis","","CG73S12","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
