"Guideline ID","Part","Evidence statement ID","Evidence statement GUID","Ideal ES GUID","Evidence statement","Evidence Category Code","Evidence statement subject","Set GUID",""
"CG73","","ES24","CG73ES24","","In diabetic and non-diabetic populations (n=229 and n=177, respectively), spot morning PCR and 24- hour urinary protein loss rates were log-transformed and a linear regression was fitted, which was  highly significant (β=0.948, p <0.0001 in people without diabetes, and β =0.9, significance not stated for people with diabetes).347,353 21 However, PCR becomes a less accurate predictor of 24-hour urinary  protein loss in the higher values. (Level 1b +)","","Correlation of PCR and 24-hour protein loss","CG73S4","347, 353"
"CG73","","ES25","CG73ES25","","There was a high correlation between first morning urine ACR and overnight albumin loss (r=0.921, p not given, n=261 diabetic adults).160 25 Similarly, there was high correlation between overnight albumin loss and first morning ACR (Kendall’s τb=0.71, p<0.001, n=446), though this study specifically excluded people with clinical proteinuria from the analyses.120 27 In a US study of a black people with type 2 diabetes (n=123), there was also a significantly high correlation between ACR and 24-hour  albumin loss (r=0.96, p=0.0001). This correlation significantly decreased in adults with normal ACR (<30 μg/mg) (r=0.59, p<0.0001, n=90) as well as in adults with microalbuminuria (ACR 30–300 μg/mg) (r=0.55, p=0.005, n=26).57 31 (Level 1b +) 
","","Correlation of ACR and 24-hour albumin loss","CG73S4","160, 120"
"CG73","","ES26","CG73ES26","","Overall, sensitivity and specificity were high for first morning ACR. In the figures given below, sensitivity is the proportion of people with an albumin rate of loss >30μg/min correctly identified by the ACR test. Specificity is the proportion of people with an albumin loss rate <30 μg/min correctly excluded by the ACR test. At a cut-off value of >3.0 mg/mmol, ACR had a sensitivity of 96.8% and a specificity of 93.9%.160 37 The sensitivity 49.0% (95% CI 71.1–56.9) was much lower in a larger healthy population (n=2527), while the specificity was still high 98.7% (95% CI 98.2–99.1).118 39 (Level 1b +) 
","","Sensitivity and specificity","CG73S4","160, 120, 244, 118"
"CG73","","ES27","CG73ES27","","At a cut-off value of >3.0 mg/mmol, ACR had a sensitivity of 96.8% and a specificity of 93.9%.160 37 The sensitivity 49.0% (95% CI 71.1–56.9) was much lower in a larger healthy population (n=2527), while the specificity was still high 98.7% (95% CI 98.2–99.1).118 39 (Level 1b +) 
","","Sensitivity and specificity","CG73S4","160. 118"
"CG73","","ES28","CG73ES28","","At a cut-off value of >3.5 mg/mmol, overnight ACR had a sensitivity of 88% and a specificity of 99%, p value not given.120 41 Another similar study reported 98% sensitivity and 63% specificity, p value not  given.244 42 (Level 1b + and II+) ","","Sensitivity and specificity","CG73S4","244"
"CG73","","ES29","CG73ES29","","The positive predictive value (PPV) is the proportion of true positives in the sample and the negative predictive value (NPV) is the proportion of true negatives in the sample. The PPV for ACR was 72% or  68.2%.120,160 The NPV was 99.5%.160 7 (Level 1b +) 
","","Positive and negative predictive values 
","CG73S4","160. 120"
"CG73","","ES30","CG73ES30","","In a South Asian population, the PPV for albuminuria in those with high ACR (≥30mg/g) was 72%. The  NPV for albuminuria in those with high ACR (≥30mg/g) was 95%.169 9 (Level 1b +) 
","","Positive and negative predictive values 
","CG73S4","160. 120"
"CG73","","ES31","CG73ES31","","Five studies showed that serum calcium levels decreased only in advanced renal disease. Two of these studies reported the prevalence of hypocalcaemia in a CKD population. Of people with GFR <20 ml/min/1.73 m2, 15% had abnormal Ca levels (Ca <2.1 mmol/l).217 12 (Level 3) 
","","Serum calcium 
","CG73S10","217"
"CG73","","ES32","CG73ES32","","43% of people with stage 3 CKD and 71% of people with stage 4 CKD had serum Ca <2.37 mmol/l.204 13 (Level 3) 
","","Serum calcium 
","CG73S10","204"
"CG73","","ES33","CG73ES33","","Two studies showed that people with stage 4 CKD had significantly lower serum calcium than people with stage 3 CKD.77,204 ","","Serum calcium 
","CG73S10","77, 204"
"CG73","","ES34","CG73ES34","","People with moderate CRF (GFR 20-39 ml/min/1.73 m2 had significantly lower Ca levels than people with mild CRF (GFR 40-90 ml/min/1.73 m2 380 ","","Serum calcium 
","CG73S10","380"
"CG73","","ES35","CG73ES35","","Compared to men with CrCl > 80 ml/min, men with CrCl < 20 ml/min had a significant decrease in ionised serum Ca.157 20 (Level 3) 
","","Serum calcium 
","CG73S10","157"
"CG73","","ES36","CG73ES36","","Five studies showed that serum phosphate levels increased with advanced renal disease. Three of these studies showed that abnormal phosphate levels were highly prevalent when eGFR was <20 
ml/min/1.73 m2. 
","","Serum phosphate 
","CG73S10",""
"CG73","","ES37","CG73ES37","","Of people with eGFR 20–29 ml/min/1.73 m215% had abnormal phosphorus levels (P >1.49 mmol/l). Of people with GFR < 20 ml/min/1.73 m2, 40% had abnormal phosphorus levels.217 ","","Serum phosphate 
","CG73S10","217"
"CG73","","ES38","CG73ES38","","The prevalence of hyperphosphataemia (serum P >1.45 mmol/l) increased with declining CrCl: 7% of people with CrCl 20–30 ml/min/1.73 m2, and 30% of people with CrCl <20 ml/min/1.73 m2 had hyperphosphataemia.157 ","","Serum phosphate 
","CG73S10","157"
"CG73","","ES39","CG73ES39","","3% of people with stage 3 CKD and 22% of people with stage 4 CKD had serum P >1.52 mmol/l.204 30 (Level 3)","","Serum phosphate 
","CG73S10","204"
"CG73","","ES40","CG73ES40","","Two studies showed that people with stage 4 CKD had significantly higher serum phosphate levels than people with stage 3 CKD.77,204 ","","Serum phosphate 
","CG73S10","77, 204"
"CG73","","ES41","CG73ES41","","People with stage 5 CKD had significantly higher serum phosphate than people with stage 4 CKD.77 34 
35 (Level 3) ","","Serum phosphate 
","CG73S10","77"
"CG73","","ES42","CG73ES42","","Combination therapy of risedronate (2.5 mg/day) and vitamin D together resulted in a significant increase in BMD, whereas BMD significantly decreased in the vitamin D alone group. There was a NS decline in BMD in the risedronate group. The difference between BMD changes in the risedronate and vitamin D combination therapy group and the vitamin D alone group were statistically significant.193 11 (Level 1+) 
","","Risedronate 
","CG73S11","193"
"CG73","","ES43","CG73ES43","","The mean percent increase from baseline to endpoint in BMD at the lumbar spine, femoral neck and trochanter was significantly greater in the risedronate (5 mg/day) arm than in the placebo arm in all mild, moderate and severe renal impairment subgroups, with the exception of the femoral neck in the severe renal impairment subgroup.257 ","","Risedronate 
","CG73S11","257"
"CG73","","ES44","CG73ES44","","In one RCT, no fractures occurred over 1 year of follow-up.193 ","","Risedronate 
","CG73S11","193"
"CG73","","ES45","CG73ES45","","The incidence of new vertebral fractures was significantly lower in the risedronate (5 mg/day) group than placebo groups within mild, moderate and severe renal impairment subgroups.257 19 Within the 
 risedronate treatment group, the incidence of new vertebral fractures was similar across renal  impairment subgroups (p=0.124). Within the placebo group, new vertebral fractures increased significantly with increasing severity of renal impairment (p<0.001). (Level 1+) 
","","Risedronate 
","CG73S11","257"
"CG73","","ES46","CG73ES46","","There were no adverse events in any of the treatment arms in the Kikuchi et al. RCT.","","Risedronate 
","CG73S11","257"
"CG73","","ES47","CG73ES47","","The incidence of overall, urinary and renal function related adverse events were similar between risedronate (5 mg/day) and placebo groups in the subgroups of patients with severe, moderate and mild renal impairment.257","","Risedronate 
","CG73S11","257"
"CG73","","ES48","CG73ES48","","Alendronate increased BMD at the total hip, femoral neck and spine to a greater extent in postmenopausal women with eGFR <45 ml/min/1.73 m2than in women with eGFR ≥45 ml/min/1.73 m2. There was a significant interaction between renal function and the increase in total hip BMD  (p=0.04). Among women with osteoporosis (n=3214), alendronate produced a greater increase in BMD at the hip and femoral neck in the group with eGFR <45 ml/min/1.73 m2  than women with eGFR ≥45 ml/min/1.73 m2  However at the spine the increase in BMD was greater in women with eGFR ≥45  ml/min/1.73 m2. There was no significant interaction between renal function and increase in BMD.171 36 (Level 1+) 
","","Alendronate 
","CG73S11","171"
"CG73","","ES49","CG73ES49","","Overall, alendronate significantly reduced the risk of clinical fractures (OR 0.8, 95% CI 0.7–0.9) and spine factures (OR 0.54, 95% CI 0.37–0.87) compared with placebo. The risk reduction was significant in women with eGFR ≥45 ml/min/1.73 m2 for both clinical and spine fractures, but NS in women with eGFR <45 ml/min/1.73 m2 (Level 1+) 
","","Alendronate 
","","171"
"CG73","","ES50","CG73ES50","","There was no difference for adverse events among women with reduced renal function compared with women without reduced renal function (p=0.189).171","","Alendronate 
","","171"
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
