Study GUID,Reference,,,,,,,
CG15AdultST60,"Schafer LC, McCaul KD, Glasgow RE. Supportive and nonsupportive family behaviors: relationships to adherence and metabolic control in persons with type I diabetes. Diabetes Care 1986; 9 :17985.",,,,,,,
CG15AdultST61,"Bailey BJ, Kahn A. Apportioning illness management authority: how diabetic individuals evaluate and respond to spousal help. Qualitative Health Research 1993; 3 :5573.",,,,,,,
CG15AdultST62,"The DAWN (Diabetes Attitudes, Wishes and Needs) Study. Practical Diabetes International 2002; 19 :22a4a.",,,,,,,
CG15AdultST63,"Diabetes UK and Care Interventions Team. Needs of the recently diagnosed. Listening project. Report and recommendations . London: Diabetes UK, 2001. 155 References",,,,,,,
CG15AdultST64,"Hiscock J, Legard R, Snape D. Listening to Diabetes Service Users: Qualitative findings for the Diabetes National Service Framework . London: Department of Health, 2003.",,,,,,,
CG15AdultST65,Assessing the benefit of support groups. New England Journal of Medicine 2001; 345 :171968.,,,,,,,
CG15AdultST66,"Knight BG, Lutzky SM, Macofsky-Urban F. A meta-analytic review of interventions for caregiver distress: recommendations for future research. Gerontologist 1993; 33 :2408.",,,,,,,
CG15AdultST67,"Toseland RW, Labrecque MS, Gobel ST, Whitney MH. An evaluation of a group program for spouses of frail elderly veterans. Gerontologist 1992; 32 :38290. 67a. Data obtained from an email from Debbie Hammond, Diabetes UK patients representative on the Guideline Development Group, August 2003.",,,,,,,
CG15AdultST68,"Labrecque MS, Peak T. Long-term effectiveness of a group program for caregivers of frail elderly veterans. American Journal of Orthopsychiatry 1992; 62 :57588.",,,,,,,
CG15AdultST69,"Ostwald SK, Hepburn KW, Caron W et al . Reducing caregiver burden: a randomized psychoeducational intervention for caregivers of persons with dementia. Gerontologist 1999; 39 :299309.",,,,,,,
CG15AdultST70,"Hanestad BR, Albrektsen G. The effects of participation in a support group on self assessed quality of life in people with insulin-dependent diabetes mellitus. Diabetes Research and Clinical Practice 1993; 19 :16373.",,,,,,,
CG15AdultST71,"Maxwell AE, Hunt IF, Bush MA. Effects of a social support group, as an adjunct to diabetes training, on metabolic control and psychosocial outcomes. Diabetes Educator 1992; 18 :3039.",,,,,,,
CG15AdultST72,"Fisher EB, Auslander WF, Munro JF et al . Neighbors for a smoke free north side: Evaluation of a community organization approach to promoting smoking cessation among African Americans. American Journal of Public Health 1998; 88 :165863.",,,,,,,
CG15AdultST73,Morris DB. A rural diabetes support group. Diabetes Educator 1998; 24 :4937.,,,,,,,
CG15AdultST74,"Nuffield Trust. Sharing, stories: a feasibility study of facilitated small group learning by the oral tradition in diabetes education for British Bangladeshis in Tower Hamlets. 2000.",,,,,,,
CG15AdultST75,"Home P, Coles J, Goldacre M et al (eds). Health outcome indicators: diabetes mellitus . Report of a working group to the Department of Health. Oxford: National Centre for Health outcomes Development, 1999.",,,,,,,
CG15AdultST76,American Diabetes Association. Standards of medical care for patients with diabetes mellitus. Diabetes Care 2003; 26 (Suppl 1):S3350.,,,,,,,
CG15AdultST77,"Carpentier WS, Piziak VK, Bratcher T, Hejl J. Efficacy of diabetes education: classroom versus individualized instruction. HMO Practice 1990; 4 :303.",,,,,,,
CG15AdultST78,"Kim JY, Phillips TL. The effectiveness of two forms of corrective feedback in diabetes education. Journal of Computer-Based Instruction 1991; 18 :148.",,,,,,,
CG15AdultST79,"Mensing C, Boucher J, Cypress M. National standards for diabetes self-management education. Diabetes Care 2003; 26 (Suppl 1):S14956.",,,,,,,
CG15AdultST80,"Rapid Reviews Team, Southampton Health Technology Assessment Centre, University of Southampton. Patient education models for diabetes . London: National Institute for Clinical Excellence, 2002.",,,,,,,
CG15AdultST81,"de Weerdt I, Visser AP, Kok GJ et al . Randomized controlled multicentre evaluation of an education programme for insulin-treated diabetic patients: effects on metabolic control, quality of life, and costs of therapy. Diabetic Medicine 1991; 8 :33845.",,,,,,,
CG15AdultST82,"Lennon GM, Taylor KG, Debney L, Bailey CJ. Knowledge, attitudes, technical competence, and blood glucose control of Type 1 diabetic patients during and after an education programme. Diabetic Medicine 1990; 7 :82532.",,,,,,,
CG15AdultST83,"Valk GD, Kriegsman DM, Assendelft WJ. Patient education for preventing diabetic foot ulceration: a systematic review. Endocrinology and Metabolism Clinics of North America 2002; 31 :63358.",,,,,,,
CG15AdultST84,"Norris SL, Nichols PJ, Caspersen CJ et al . Increasing diabetes self-management education in community settings. A systematic review. American Journal of Preventive Medicine 2002; 22 :3966. 156 Type 1 diabetes in adults: national clinical guideline for diagnosis and management",,,,,,,
CG15AdultST85,Jones PM. Use of a course on self-control behavior techniques to increase adherence to prescribed frequency for self-monitoring blood glucose. Diabetes Educator 1990; 16 :296303.,,,,,,,
CG15AdultST86,"Matam P, Kumaraiah V, Munichoodappa C et al . Behavioural intervention in the management of compliance in young type-I diabetics. Journal of the Association of Physicians of India 2000; 48 :96771.",,,,,,,
CG15AdultST87,"Korhonen T, Huttunen JK, Aro A et al . A controlled trial on the effects of patient education in the treatment of insulin-dependent diabetes. Diabetes Care 1983; 6 :25661.",,,,,,,
CG15AdultST88,"Halimi S, Charpentier G, Grimaldi A et al . Effect on compliance, acceptability of blood glucose self-monitoring and HbA(1c) of a self-monitoring system developed according to patients wishes. The ACCORD study. Diabetes and Metabolism 2001; 27 :6817.",,,,,,,
CG15AdultST89,"Coster S, Gulliford MC, Seed PT et al . Monitoring blood glucose control in diabetes mellitus: a systematic review. Health Technology Assessment 2000; 4 :No.12.",,,,,,,
CG15AdultST90,"Germer S, Campbell IW. Home-monitoring of blood glucose  patient preference for BM-Test Glycemie 20800 strips or Glucometer. British Journal of Clinical Practice 1985; 39 :2257.",,,,,,,
CG15AdultST91,"Edelman SV, Callahan P, Deeb LC. Multisite evaluation of a new diabetes self-test for glucose and glycated protein (fructosamine) [including commentary by Riddle MC]. Diabetes Technology and Therapeutics 2000; 2 :23340.",,,,,,,
CG15AdultST92,"Cefalu WT, Wang ZQ, Redmon E et al . Clinical validity of a self-test fructosamine in outpatient diabetic management [including commentary by Hom F]. Diabetes Technology and Therapeutics 1999; 1 :43545.",,,,,,,
CG15AdultST93,"Gordon D, Semple CG, Paterson KR. Do different frequencies of self-monitoring of blood glucose influence control in type 1 diabetic patients? Diabetic Medicine 1991; 8 :67982.",,,,,,,
CG15AdultST94,"Giacco R, Parillo M, Rivellese AA et al . Long-term dietary treatment with increased amounts of fiber-rich low-glycemic index natural foods improves blood glucose control and reduces the number of hypoglycemic events in type 1 diabetic patients. Diabetes Care 2000; 23 :14616.",,,,,,,
CG15AdultST95,"Hansen HP, Christensen PK, Tauber LE et al . Low-protein diet and kidney function in insulin-dependent diabetic patients with diabetic nephropathy. Kidney International 1999; 55 :6218.",,,,,,,
CG15AdultST96,"Chantelau EA, Frenzen A, Gosseringer G et al . Intensive insulin therapy justifies simplification of the diabetes diet: a prospective study in insulin-dependent diabetic patients. American Journal of Clinical Nutrition 1987; 45 :95862.",,,,,,,
CG15AdultST97,"McCulloch DK, Mitchell RD, Ambler J, Tattersall RB. A prospective comparison of conventional and high carbohydrate/high fibre/low fat diets in adults with established type 1 (insulin-dependent) diabetes. Diabetologia 1985; 28 :20812.",,,,,,,
CG15AdultST98,"Yale JF, Begg I, Gerstein H et al . 2001 Canadian Diabetes Association clinical practice guidelines for the prevention and management of hypoglycemia in diabetes. Canadian Journal of Diabetes Care 2001; 26 :2235.",,,,,,,
CG15AdultST99,"Amiel S, Beveridge S, Bradley C et al . Training in flexible, intensive insulin management to enable dietary freedom in people with type 1 diabetes: dose adjustment for normal eating (DAFNE) randomised controlled trial. British Medical Journal 2002; 325 :7469.",,,,,,,
CG15AdultST100,"Muhlhauser I, Bott U, Overmann H et al . Liberalized diet in patients with type 1 diabetes. Journal of Internal Medicine 1995; 237 :5917.",,,,,,,
CG15AdultST101,"National Institute for Clinical Excellence. Guidance on the use of patient-education models for diabetes . London: NICE, 2003.",,,,,,,
CG15AdultST102,"Laaksonen DE, Atalay M, Niskanen LK et al . Aerobic exercise and the lipid profile in type 1 diabetic men: a randomized controlled trial. Medicine and Science in Sports and Exercise 2000; 32 :15418.",,,,,,,
CG15AdultST103,"Ligtenberg PC, Blans M, Hoekstra JB et al . No effect of long-term physical activity on the glycemic control in type 1 diabetes patients: a cross-sectional study. Netherlands Journal of Medicine 1999; 55 :5963.",,,,,,,
CG15AdultST104,"Lehmann R, Kaplan V, Bingisser R et al . Impact of physical activity on cardiovascular risk factors in IDDM. Diabetes Care 1997; 20 :160311. 157 References",,,,,,,
CG15AdultST105,"Perry TL, Mann JI, Lewis-Barned NJ et al . Lifestyle intervention in people with insulin-dependent diabetes mellitus (IDDM). European Journal of Clinical Nutrition 1997; 51 :75763.",,,,,,,
CG15AdultST106,"Schneider SH, Khachadurian AK, Amorosa LF et al . Ten-year experience with an exercise-based outpatient life-style modification program in the treatment of diabetes mellitus. Diabetes Care 1992; 15 :180010.",,,,,,,
CG15AdultST107,"Connor H, Annan F, Bunn E et al . The implementation of nutritional advice for people with diabetes. Diabetic Medicine 2003; 20 :786807.",,,,,,,
CG15AdultST108,Larsen ML. The clinical usefulness of glucated haemoglobin in diabetes care evaluated by use of a medical technology assessment strategy. Review. Danish Medical Bulletin 1997; 44 :30315.,,,,,,,
CG15AdultST109,"Gross TM, Bode BW, Einhorn D et al . Performance evaluation of the MiniMed continuous glucose monitoring system during patient home use. Diabetes Technology and Therapeutics 2000; 2 :4956.",,,,,,,
CG15AdultST110,"Gross TM, Ter Veer A. Continuous glucose monitoring in previously unstudied population subgroups. Diabetes Technology and Therapeutics 2000; 2 (Suppl 1):S2734.",,,,,,,
CG15AdultST111,"Maran A, Crepaldi C, Tiengo A et al . Continuous subcutaneous glucose monitoring in diabetic patients: a multicenter analysis. Diabetes Care 2002; 25 :34752.",,,,,,,
CG15AdultST112,"Grieve R, Beech R, Vincent J, Mazurkiewicz J. Near patient testing in diabetes clinics: appraising the costs and outcomes. Health Technology Assessment 1999; 3 :174.",,,,,,,
CG15AdultST113,"Wang PH, Lau J, Chalmers TC, Zinman B. Intensive blood-glucose control and diabetes: a meta-analysis. Annals of Internal Medicine 1993; 119 :71.",,,,,,,
CG15AdultST114,"Alberti KG, Gries FA. Management of non-insulin-dependent diabetes mellitus in Europe: a consensus view. Diabetic Medicine 1988; 5 :27581.",,,,,,,
CG15AdultST115,European Diabetes Policy Group. A desktop guide to Type 1 (insulin-dependent) diabetes mellitus. 1998. Diabetic Medicine 1999; 16 :25366.,,,,,,,
CG15AdultST116,"Rohlfing CL, Wiedmeyer HM, Little RR et al . Defining the relationship between plasma glucose and HbA(1c): analysis of glucose profiles and HbA(1c) in the Diabetes Control and Complications Trial. Diabetes Care 2002; 25 :2758.",,,,,,,
CG15AdultST117,The effect of intensive treatment of diabetes on the development and progression of long-term complications in insulin-dependent diabetes mellitus. The Diabetes Control and Complications Trial Research Group. New England Journal of Medicine 1993; 329 :97786.,,,,,,,
CG15AdultST118,The relationship of glycemic exposure (HbA1c) to the risk of development and progression of retinopathy in the diabetes control and complications trial. Diabetes 1995; 44 :96883.,,,,,,,
CG15AdultST119,"Stratton IM, Kohner EM, Aldington SJ et al . UKPDS 50: risk factors for incidence and progression of retinopathy in Type II diabetes over 6 years from diagnosis. Diabetologia 2001; 44 :15663.",,,,,,,
CG15AdultST120,"McCance DR, Hadden DR, Atkinson AB et al . Long-term glycaemic control and diabetic retinopathy. Lancet 1989; ii :8248.",,,,,,,
CG15AdultST121,"Reichard P, Nilsson BY, Rosenqvist U. The effect of long-term intensified insulin treatment on the development of microvascular complications of diabetes mellitus. New England Journal of Medicine 1993; 329 :3049.",,,,,,,
CG15AdultST122,"Krolewski AS, Laffel LM, Krolewski M et al . Glycosylated hemoglobin and the risk of microalbuminuria in patients with insulin-dependent diabetes mellitus. New England Journal of Medicine 1995; 332 :12515.",,,,,,,
CG15AdultST123,"Peters AL, Davidson MB, Schriger DL, Hasselblad V. A clinical approach for the diagnosis of diabetes mellitus: an analysis using glycosylated hemoglobin levels. Meta-analysis Research Group on the Diagnosis of Diabetes Using Glycated Hemoglobin Levels. Journal of the American Medical Association 1996; 276 : 124652.",,,,,,,
CG15AdultST124,"McCance DR, Hanson RL, Charles MA et al . Comparison of tests for glycated haemoglobin and fasting and two hour plasma glucose concentrations as diagnostic methods for diabetes. British Medical Journal 1994; 308 :13238. 158 Type 1 diabetes in adults: national clinical guideline for diagnosis and management",,,,,,,
CG15AdultST125,"Nathan DM, Singer DE, Hurxthal K, Goodson JD. The clinical information value of the glycosylated hemoglobin assay. New England Journal of Medicine 1984; 310 :3416.",,,,,,,
CG15AdultST126,"Richter B, Neises G, Bergerhoff K. Human versus animal insulin in people with diabetes mellitus: a systematic review. Endocrinology and Metabolism Clinics of North America 2002; 31 :72349.",,,,,,,
CG15AdultST127,"George E, Bedford C, Peacey SR et al . Further evidence for a high incidence of nocturnal hypoglycaemia in IDDM: no effect of dose for dose transfer between human and porcine insulins. Diabetic Medicine 1997; 14 :4428.",,,,,,,
CG15AdultST128,"Karlson B, Agardh CD. Influence of intensified insulin regimen on quality of life and metabolic control in insulin-dependent diabetes mellitus. Diabetes Research and Clinical Practice 1994; 25 :1115.",,,,,,,
CG15AdultST129,"Egger M, Davey G, Stettler SC, Diem P. Risk of adverse effects of intensified treatment in insulin-dependent diabetes mellitus: a meta-analysis. Diabetic Medicine 1997; 14 :91928.",,,,,,,
CG15AdultST130,"Haakens K, Hanssen KF, Dahl-Jorgensen K et al . Early morning glycaemia and the metabolic consequences of delaying breakfast/morning insulin. A comparison of continuous subcutaneous insulin infusion and multiple injection therapy with human isophane or human ultralente insulin at bedtime in insulin-dependent diabetics. Scandinavian Journal of Clinical and Laboratory Investigation 1989; 49 :6539.",,,,,,,
CG15AdultST131,"Tunbridge FK, Newens A, Home PD et al . Double-blind crossover trial of isophane (NPH)- and lente-based insulin regimens. Diabetes Care 1989; 12 :1159.",,,,,,,
CG15AdultST132,"National Institute for Clinical Excellence. Guidance on the use of long-acting analogues for the treatment of diabetes  insulin glargine . Technology Appraisal Guidance No.53. London: NICE, 2002.",,,,,,,
CG15AdultST133,"Vignati L, Anderson JH Jr, Iversen PW. Efficacy of insulin lispro in combination with NPH human insulin twice per day in patients with insulin-dependent or non-insulin-dependent diabetes mellitus. Multicenter Insulin Lispro Study Group. Clinical Therapeutics 1997; 19 :140821.",,,,,,,
CG15AdultST134,"Nielsen FS, Jorgensen LN, Ipsen M et al . Long-term comparison of human insulin analogue B10Asp and soluble human insulin in IDDM patients on a basal/bolus insulin regimen. Diabetologia 1995; 38 :5928.",,,,,,,
CG15AdultST135,"Lindholm A, McEwen J, Riis AP. Improved postprandial glycemic control with insulin aspart. A randomized double-blind cross-over trial in type 1 diabetes. Diabetes Care 1999; 22 :8015.",,,,,,,
CG15AdultST136,"Del Sindaco P, Ciofetta M, Lalli C et al . Use of the short-acting insulin analogue lispro in intensive treatment of type 1 diabetes mellitus: importance of appropriate replacement of basal insulin and time-interval injection-meal. Diabetic Medicine 1998; 15 :592600.",,,,,,,
CG15AdultST137,"Davey P, Grainger D, MacMillan J et al . Clinical outcomes with insulin lispro compared with human regular insulin: a meta-analysis. Clinical Therapeutics 1997; 19 :65674.",,,,,,,
CG15AdultST138,"Lalli C, Ciofetta M, Del Sindaco P et al . Long-term intensive treatment of type 1 diabetes with the short-acting insulin analog lispro in variable combination with NPH insulin at mealtime. Diabetes Care 1999; 22 :46877.",,,,,,,
CG15AdultST139,"Anderson JH Jr, Brunelle RL, Koivisto VA et al . Reduction of postprandial hyperglycemia and frequency of hypoglycemia in IDDM patients on insulin-analog treatment. Multicenter Insulin Lispro Study Group. Diabetes 1997; 46 :26570.",,,,,,,
CG15AdultST140,"Pfutzner A, Kustner E, Forst T et al . Intensive insulin therapy with insulin lispro in patients with type 1 diabetes reduces the frequency of hypoglycemic episodes. Experimental and Clinical Endocrinology and Diabetes 1996; 104 :2530.",,,,,,,
CG15AdultST141,"Renner R, Pfutzner A, Trautmann M et al . Use of insulin lispro in continuous subcutaneous insulin infusion treatment: results of a multicenter trial. Diabetes Care 1999; 22 :7848.",,,,,,,
CG15AdultST142,"Ebeling P, Jansson PA, Smith U et al . Strategies toward improved control during insulin lispro therapy in IDDM. Importance of basal insulin. Diabetes Care 1997; 20 :12879.",,,,,,,
CG15AdultST143,"Roach P, Strack T, Arora V, Zhao Z. Improved glycaemic control with the use of self-prepared mixtures of insulin lispro and insulin lispro protamine suspension in patients with types 1 and 2 diabetes. International Journal of Clinical Practice 2001; 55 :17782. 159 References",,,,,,,
CG15AdultST144,"Gale EA. A randomized, controlled trial comparing insulin lispro with human soluble insulin in patients with Type 1 diabetes on intensified insulin therapy. The UK Trial Group. Diabetic Medicine 2000; 17 :20914.",,,,,,,
CG15AdultST145,"Roach P, Trautmann M, Arora V et al . Improved postprandial blood glucose control and reduced nocturnal hypoglycemia during treatment with two novel insulin lispro-protamine formulations, insulin lispro mix25 and insulin lispro mix50. Mix50 Study Group. Clinical Therapeutics 1999; 21 :52334.",,,,,,,
