"Evidence statement GUID","Evidence statement","Evidence Category Code","Evidence statement subject","Set GUID"
"CG15AdultES34","A similar intervention among adolescents (mean age 18 years) in India enrolled in a prospective r andomised trial, 86 w ith an intervention of 15 hours of individualised learning over three months comprising both behavioural and cognitive strategies based on an operant learning model, found improved adherence on a composite three-item scale, compared to usual care. This improved adherence was mirrored in significantly improved blood glucose level compared to pe ople in the control group. However, this study had a small sample size and was unblinded, and it was not possible to determine whether benefits persist after the cessation of the intervention","Ib","Behavioural and education interventions","CG15AdultS5"
"CG15AdultES35","One small- to medium-sized randomised trial of a specialist education programme delivered to people with Type 1 diabetes by a team of physicians, dietitians and specialist nurses found there to be no statistically significant differences in diabetes knowledge or adherence to dietary advice co mpared to a control group who received conventional diabetes education. Both groups improved in both measures immediately after the completion of the education intervention but then knowledge and adherence fell away with time. This trial was sited in Finland and there may be differences in content of conventional diabetes education compared to that of the UK care setting 87","Ib","Education interventions","CG15AdultS5"
"CG15AdultES36","There were no significant differences in adherence to glucose self-monitoring or in blood gl ucose levels reported at six months between two interventions with novel glucose monitoring devices and control with a standard device from a medium-sized multicentre randomised Type 1 diabetes in adults: national clinical guideline for diagnosis and management tr ial. 88 The trial included a population of people with Type 1 diabetes who had had the co ndition for an average of 14 years. The study was blinded between the two novel monitoring machines, but the people in the control group would have been aware that they were not re ce iv ing the intervention as they continued to use their usual machine. To evaluate adherence all patients were asked to keep diaries of self-monitoring behaviour and this may have stimulated greater adherence even in the control group than under normal everyday self- monitoring conditions","Ib","Monitoring devices","CG15AdultS5"
"CG15AdultES37","A ssessing the cost-effectiveness of patient education is complicated by the fact that patient education is rarely assessed in isolation. Recent NICE guidance 338 into patient education models considered the health economic evidence for interventions in terms of self-care, quality of life and the long-term complications of diabetes. Interventions improving knowledge of diabetes were excluded from consideration, as improved knowledge of diabetes does not necessarily affect subsequent outcomes.  The NICE appraisal found only two published health economic papers suitable for assessing patient education. 339,340 Of these, only one 339 included Type 1 diabetes patients, and this established cost-effectiveness ratios for altering food habits.","-","Health economic evidence","CG15AdultS5"
"CG15AdultES38","Pa pe rs contained within a systematic review 89 suggest that the evidence on issues of observer tr aining, interdevice variability, the effects of long-term use and patient acceptability have not been adequately addressed","IV","Reliability and validity","CG15AdultS6"
"CG15AdultES39","One study within the systematic review 89 co mparing self-reported readings against a memory meter showed that inaccuracies in readings were common. This was due to rounding of values, omission of outlying values and reporting of re sults when no test had been performed. These findings were confirmed in another reviewed study of 14 people who recorded lower blood gl ucose values in logbook records than meter memories","Ia","Reliability and validity","CG15AdultS6"
"CG15AdultES40","Reported within the systematic review, one trial 89 suggested that patients needed to be informed of the memory capacity of their meters to improve accuracy. A further study reported in the review argued that the true diurnal variability in glycaemia in people with Type 1 diabetes is too great to be measured, even when self-monitoring of blood glucose (SMBG) is repeated seven times daily","Ia","Reliability and validity","CG15AdultS6"
"CG15AdultES41","Pa tient factors (as described below) were shown to have an impact (both positive and negative) on the reliability of monitoring in five studies. 89 Re liability can be improved through proper training of patients, and was shown in sub-group analysis to be equally as good in older pe ople, and people with visual impairments (on co ndition that extensive instruction has been provided). One study concluded that impairment of colour vision affects the ability to interpret self-monitoring with visually read strips, suggesting that all patients should be screened for colour vision before self-monitoring begins
","Ia","Reliability and validity","CG15AdultS6"
"CG15AdultES42","Four trials contained within a systematic review 89 failed to show with sufficient power a demonstrated effect of SMBG on blood glucose control ","Ia","Clinical effectiveness of blood glucose monitoring","CG15AdultS6"
"CG15AdultES43","Two trials comparing urine and blood testing showed no clinical difference in the two tests89","Ia","Clinical effectiveness of blood glucose monitoring","CG15AdultS6"
"CG15AdultES44","A systematic review 89 reported on patient preferences for different monitoring techniques. One trial reported patients preferring blood testing, or a combination of blood and urine testing,compared to urine testing alone. No preference was stated for visual strips or strips with meters","Ia","Clinical effectiveness of blood glucose monitoring","CG15AdultS6"
"CG15AdultES45","One methodologically-limited crossover study 90 co mparing blood glucose meters with visual t est strips showed patients found the two techniques equally convenient to use, although overall more patients preferred the blood glucose meter.  Preferences were based on: accuracy, confidence in test result, no judgement by patient,inability to cheat with result and use of the built in timer","Ib","Clinical effectiveness of blood glucose monitoring","CG15AdultS6"
"CG15AdultES46","One methodologically-limited comparative study 91 showed that fructosamine self-test results co rr elated well with laboratory test with very low bias. Imprecision of the self-test was higher than the laboratory test, but could still identify patients with good vs poor glycaemic control","DS","Clinical effectiveness of blood glucose monitoring","CG15AdultS6"
"CG15AdultES47","A further methodologically-limited diagnostic study 92 in people with Type 2 diabetes showed self-testing of fructosamine to be comparable in accuracy to laboratory fructosamine and GHb values ","CDS","Clinical effectiveness of blood glucose monitoring","CG15AdultS6"
"CG15AdultES48","One trial with 25 patients 93 showed no significant difference in glucose control or patient practice based on frequency of testing. The authors stated that they are unable to identify any optimal frequency for blood glucose self-monitoring in typical diabetic population. There is little or no relationship between the frequency of blood glucose monitoring, the frequency of insulin dose adjustments and the level of metabolic control","Ib","Clinical effectiveness of blood glucose monitoring","CG15AdultS6"
"CG15AdultES49","A study of the preferences of 18 patients within a systematic review 89 reported a pr eference for t esting four times daily twice weekly, or four times daily once a week, compared to twice daily ev ery day of the week","Ib","Clinical effectiveness of blood glucose monitoring","CG15AdultS6"
"CG15AdultES50","One study from a systematic review reported fasting plasma glucose to be less useful as an accurate mode of monitoring in insulin-treated people with diabetes than in other people 89","IIa","Clinical effectiveness of blood glucose monitoring","CG15AdultS6"
"CG15AdultES51","The DCCT included self-monitoring of blood glucose as part of intensive treatment. Self-monitoring is only likely to have an effect on blood glucose control when used to inform the management of diabetes. As such, it is not feasible to analyse its cost-effectiveness in isolation from the requirements of subsequent management strategies.  A recent HTA report 89 identifies one paper considering the cost-effectiveness of blood or urine glucose monitoring against ‘conventional dietary control’ amongst those with Type 1 diabetes. 341 This paper is based on Russian conditions and also includes education in the intervention technologies. The GDG felt that differences in international healthcare systems mean little weight could be placed on its assertions that no significant difference exists between blood and urine glucose monitoring","-","Health economic evidence","CG15AdultS6"
"CG15AdultES52","F our small randomised controlled trials 94–97 we re identified examining different diet regimens in people with Type 1 diabetes. One randomised controlled study 94 found that a high fibre diet (50 g/day) for 24 weeks compared to a low fibre diet (15 g/day) improved blood glucose profile, and number of hypoglycaemic events, although HbA 1c , cholesterol, body weight and insulin dose were not affected","Ib","Changes to diet","CG15AdultS7"
"CG15AdultES53","A high carbohydrate, high fibre and low fat diet, compared to conventional low carbohydrate diet, taught by a dietitian in an unblinded randomised controlled trial 97 was seen at 12 months to improve HbA 1c","Ib","Changes to diet","CG15AdultS7"
"CG15AdultES54","The addition of vitamin E to the normal diet has been shown to provide no benefit in terms of c holesterol level, HbA 1c , body mass index (BMI), insulin dose or blood pressure over a 12-month period 96","Ib","Changes to diet","CG15AdultS7"
"CG15AdultES55","There were significant improvements in glomerular filtration rate, and a decline in albuminuria after four weeks of a low protein diet compared to a normal protein diet in a randomised prospective trial in people with overt diabetic nephropathy. 95 Outcomes of urinary sodium ex cretion, blood pressure, BMI and HbA 1c we re not significantly different between the diets ","Ib","Changes to diet","CG15AdultS7"
"CG15AdultES56","Canadian clinical practice guidelines 98 re co mmend that all people with diabetes on fixed-dose insulin regimen should have an individualised meal and activity plan developed. Two studies showed that patients should be taught how to adjust insulin dosage, diet and physical activity in response to blood glucose levels to reduce incidence of hypoglycaemia","Ia","Therapy adjustment for normal eating","CG15AdultS7"
"CG15AdultES57","A medium-sized randomised controlled trial 99 of a five-day outpatient programme to enable patients to replace insulin by matching it to desired carbohydrate intake amongst adults with Ty pe 1 diabetes found that the intervention improved HbA 1c com pared to a control of normal care to six months. Positive effects were also seen in weighted quality of life and total well-being. There was no effect on incidence of severe hypoglycaemia, weight or total cholesterol. This trial enrolled people with poorly-controlled diabetes","Ib","Therapy adjustment for normal eating","CG15AdultS7"
"CG15AdultES58","A similar small trial 96 in which intensified insulin plus simplified diet was compared to co nv entional therapy and diet found HbA 1c to be significantly reduced, although there was no differences between the study groups for outcomes of body weight, BMI, cholesterol or triglyce rides","Ib","Therapy adjustment for normal eating","CG15AdultS7"
"CG15AdultES59","A large cohort study 100 comparing degree of liberalisation of diet away from a specific co ntrolled diet after a treatment and teaching programme with estimation of carbohydrate intake and subsequent insulin self-adjustme nt found that there was no significant relationship between BMI and degree of diet liberalisation. In addition there was no relationship with HbA1c level or severe hypoglycaemia. However there was a relationship between liberalised diet and higher cholesterol levels, and an inverse relationship with tendency to monitor blood gl ucose more than three times a day","IIa","Undefined diet","CG15AdultS7"
"CG15AdultES60","The recent evidence-based guidelines for nutrition principles developed by the ADA, 76 provide a broad overview of research in the area of improved diabetes care for people with Type 1 diabetes through beneficial nutritional therapies. There are recommendations based on well- performed RCTs showing significant effectiveness of interventions for areas such as carbohydrates, dietary fat, energy balance and obesity, nutritional therapy for the treatment or prevention of acute complications, and hypertension. Recommendations in other key areas are based on cohort or uncontrolled studies ","Ia","Other evidence","CG15AdultS7"
"CG15AdultES61","The recent NICE Technology Appraisal 101 into patient education models ( www.nice. org.uk/cat.asp?c=68326 ) recommends dose adjustment for normal eating (DAFNE), and the intensified treatment required by DAFNE, as cost effective.","-","Health economic evidence","CG15AdultS7"
"CG15AdultES62","One small randomised controlled trial 102 was identified that assessed the effect of a 16-week aerobic exercise programme on fitness and lipid profile in young men with Type 1 diabetes. There were significant differences in VO 2max and serum total cholesterol compared to no tr aining. There were no significant changes in outcomes of HbA 1c and plasma glucose. The study was not blinded due to the nature of the intervention","Ib","Aerobic exercise","CG15AdultS8"
"CG15AdultES63","A small cross-sectional study 103 ev aluating the effect of three months of individualised aerobic ex ercise in altering blood pressure and lipid profile found that HbA 1c , fructosamine and total blood glucose did not change significantly from baseline levels. The design of the study would not represent a sound basis for supporting a recommendation for advocating exercise as therapy","IIa","Aerobic exercise","CG15AdultS8"
"CG15AdultES64","Another study with a similar intervention 102 found that four months of aerobic training provided no changes in terms of HbA 1c or total cholesterol, although there were benefits of ex ercise compared to control in terms of peak oxygen uptake","IIb","Aerobic exercise","CG15AdultS8"
"CG15AdultES65","A prospective non-randomised study 104 w ith a before and after design found that steady-state plasma glucose was significantly decreased compared to baseline as was plasma insulin with supervised exercise program (at least 135 minutes/week) for three months compared to no ex ercise. Also cholesterol decreased significantly, however there were no reported significant c hanges in fasting blood glucose, HbA 1c and microalbuminuria","IIb","Aerobic exercise","CG15AdultS8"
"CG15AdultES66","A medium-sized randomised controlled trial 105 of intensive advice and lifestyle programme w ith specified diet and exercise prescriptions compared to conventional care found that HbA 1c decreased from baseline measurements significantly over six months in the control group but re mained relatively stable in the intervention group, but no between-group comparison was made. Also, HDL cholesterol and triglycerides were not significantly different between groups at any phase of the study. However exercise sessions were not standardised in the study and a lack of blinding limited the validity of the trial","Ib","Education and exercise","CG15AdultS8"
"CG15AdultES67","A small before and after study 106 found that an intervention of 10 hours of education and physical training three or four times a week produced no metabolic response at three months w ith fasting plasma glucose levels and serum cholesterol not changing significantly. Without blinding or randomisation this evidence is not sufficient to support the use of a mixed education and exercise intervention for people with Type 1 diabetes","IIb","Education and exercise","CG15AdultS8"
"CG15AdultES68","A non-randomised prospective controlled study 103 to assess whether exercise is related to better diabetes control was reviewed. There was no significant correlation between the exercise ex pe nditure and HbA 1c in all Type 1 diabetes patients, nor was there any relationship to the frequency of mild hypoglycaemic events","IIa","Other exercise","CG15AdultS8"
"CG15AdultES69","The ADA 76 guidelines present recommendations based on a good evidence-based review. They recommend that a thorough evaluation be undertaken of patients before exercise is initiated. General recommendations for how to exercise safely include:
? metabolic control before activity
? blood glucose monitoring before and after physical activity
? food intake to be considered with added carbohydrate as necessary","Ia","Guidelines on exercise","CG15AdultS8"
"CG15AdultES70","A Diabetes UK consensus statement recommended that only HbA 1c should be used in the monitoring of blood glucose control. Other studies reported within a systematic review 89 have shown discrepancies in the classification of patients between HbA 1c and HbA 1 assays","IV","Glycated haemoglobin testing","CG15AdultS10"
"CG15AdultES71","Tw o studies in a systematic review 89 showed high inter-individual variability for GHb assays in non-diabetic and in diabetic subjects with stable or variable control. One of these studies suggested an association between clinical control and sampling interval","IIa","Glycated haemoglobin testing","CG15AdultS10"
"CG15AdultES72","The same systematic review 89 re ported on randomised controlled trial evidence supporting the use of GHb measurements, in particular results cited from the DCCT demonstrated the usefulness of these assays in contributing to improved long-term blood glucose control and a re duction in morbidity","Ia","Glycated haemoglobin testing","CG15AdultS10"
"CG15AdultES73","A Danish systematic review 108 re ported that HbA 1c values allowed clinicians to identify patients with poor glycaemic control, concluding that GHb is the most clinically appropriate t est of long-term glycaemia and should be used in routine management of Type 1 diabetes","Ia","Glycated haemoglobin testing","CG15AdultS10"
"CG15AdultES74","One study within a systematic review 89 recommended that no more than six GHb assays were necessary in a given year ","IV","Frequency of monitoring","CG15AdultS10"
"CG15AdultES75","ADA recommendations 76 advise GHb measurements are performed in accordance with clinical judgements. ADA consensus recommends GHb testing at least twice a year in patients with stable glycaemic control who are meeting treatment goals. Testing should be more frequent (quarterly) in patients whose therapy has changed or who are not meeting glycaemic control targets","IV","Frequency of monitoring","CG15AdultS10"
"CG15AdultES76","One study within a systematic review 89 re ported fructosamine testing as able to detect shorter or more recent fluctuations in blood glucose compared to GHb. Fructosamine testing does not have the problems of standardisation associated with GHb, thus results are comparable between laboratories","IIa","Fructosamine testing","CG15AdultS10"
"CG15AdultES77","Two studies within a systematic review 89 described a high correlation between fructosamine and HbA 1c , however later studies debated this claim. One study suggested that although fructosamine correlates with HbA 1c , the value of HbA 1c in an individual cannot routinely be inferred with reliability from the level of fructosamine","IIa","Fructosamine testing","CG15AdultS10"
"CG15AdultES78","Two studies contained within a systematic review, 89 in patients with renal failure and elderly Ty pe 2 diabetes patients with liver cirrhosis and nephrotic syndrome, suggest the influence of ch ro nic conditions rather than metabolic control on fructosamine levels is the source of unreliability in test result. The systematic review co ncludes that more evidence is needed to r esolve these issues","IV","Fructosamine testing","CG15AdultS10"
"CG15AdultES79","One correlation study within a review 89 showed no significant correlation between HbA 1c and fructosamine results over a six month follow-up","IV","Fructosamine testing","CG15AdultS10"
"CG15AdultES80","ADA recommendations 76 state that assays of glycated serum protein would have to be performed on a monthly basis to gather the same information as measured in GHb three to four times per year","IV","Frequency of monitoring","CG15AdultS10"
"CG15AdultES81","A systematic review 89 urges caution in using fructosamine testing, in light of the fact that fructosamine values can be improved by increased concordance a week or two before testing","IV","Frequency of monitoring","CG15AdultS10"
"CG15AdultES82","A nother study found that fasting blood glucose level (FBG) and serum fructosamine are not as useful as HbA 1c for monitoring diabetic control, but are additional extras for assessing control ov er short and long periods 89","IIa","Frequency of monitoring","CG15AdultS10"
