"Set GUID","Topic","Sub Topic","Set rationale","Set discussion"
"CG15AdultS12","Blood glucose control and insulin therapy","Insulin regimens","Ty pe 1 diabetes is an insulin deficiency disease. Physiological insulin delivery is regulated on a minute-to-minute basis, while therapeutic insulin is given a small number of times a day. Fu r thermore subcutaneous depot insulin preparations have, until recently, not come close to providing the physiological plasma insulin profiles occurring at mealtimes or in the inter- prandial basal state. A number of preparations of mealtime and extended-acting insulins are av ailable, and combining these to suit individual needs, while taking account of preferences for n umbers of injections, gives a variety of possib le insulin regimens of differing characteristics. W hile insulin deficiency is the hallmark of Type 1 diabetes, a few people retain some insulin secretion for a short time (and might therefo re benefit from insulin secretagogues). Some gl ucose-lowering drugs work on gut absorption of nutrients or on the insulin effector tissues, and might therefore be expected to be of benefit in some individuals even when completely insulin deficient and managed on insulin replacement therapy.","It was noted that Type 1 diabetes is a hormone deficiency disease. The problems faced by people w ith the condition (injections, hypoglycaemia, hyperglycaemia, consequences of capricious co ntrol, late complications) were noted to be solely a function of the poor state of insulin re placement therapy. The group noted that the use of insulin injections in people with Type 1 diabetes is not RCT- based and never could be. It was also noted that, prior to the introduction of short- and long- acting insulin analogues, the use of insulin regimens based on a combination in various forms of unmodified (soluble) human insulin befo re meals and human isophane (NPH) insulin for basal supply had become widespread, and that, the analogues aside, there was no evidence to ch allenge that conventional practice. Long-acting analogues, or rather insulin glargine, are co ve re d by NICE appraisal guidance, and this recommends their availability for use in people w ith Type 1 diabetes. Rapid-acting insulin analogues are supported by an evidence base for less hy poglycaemia at night and at some other times, reduced hyperglycaemic excursions after meals and small improvements in HbA 1c , suggesting that these too should have an increasing r ole in people with Type 1 diabetes. The group was aware that the evidence for combining the advantages of rapid- and long-acting insulin analogues was evolving as the knowledge base to use these technologies improves. This co mbination would be particularly suitable to matching with active mealtime insulin dose adjustment (AMIDA, see dietary recommendations in 6.3). Some recent NICE technology appraisals provided a health economic basis for supporting this regimen, should appropriate improvements in HbA 1c be demonstrated. Accordingly the recommendations were drafted to allow choice of human or combined analogue regimens including from the time of diagnosis. The group noted the potential usefulness of the new insulins in some special situations, including religious feasts and fasts, and shift work. A need to address insulin starters and people who wished for smaller numbers of injections was identified. A need to caution against using newer, more expensive insulins in people with control problems without proper assessment of underlying causes was felt appropriate. The NICE appraisal of insulin pumps (effectively an insulin regimen rather than a device) was noted, and no elaboration felt to be needed on that. The group found the evidence for the general recommendation of any glucose-lowering drug in combination with insulin to be unconvincing. While there may be a small gain in overall gl ucose control evidenced inconsistently in the acarbose studies, the size of this gain, the prevalence of intolerance, and the suggestion of increased hypoglycaemia, together were taken as indicating that no recommendation for the general use of this drug in this context could be made.  The use of metformin and insulin sensitisers in people with Type 1 diabetes and the metabolic syndrome has not been adequately investigated. The group was aware of the concern that arterial complications in people with Type 1 diabetes we re associated with features of the metabolic syndrome as seen in Type 2 diabetes, and that there was evidence of benefit in people with Type 2 diabetes for some drugs, notably metformin (UKPDS study) and PPAR- ? agonists (see NICE guidance). While not endorsing the general use of such drugs in people with Type 1 diabetes and features of the metabolic syndrome (see section 8.2, ‘Arterial disease management’), the group noted that further investigation might support the high a priori likelihood of benefit in this high-risk situation."
"CG15AdultS13","Blood glucose control and insulin therapy","Insulin delivery","As a large protein, insulin cannot be taken orally (it is digested) and is only absorbed across mu c ous membranes (of the nose or inside cheeks for example) very poorly. As a result, it generally has to be injected or infused into the subcutaneous fat. Self-use of injection devices is not something most people adopt happily by choice, and since the late 1970s various solutions to making this easier and more satisfactory have been developed. ","In sulin injection pens were noted to be the overwhelming norm in the UK for insulin delivery for reasons of convenience, ease of teaching and portability. Some devices with particular design characteristics can be used by people with disabilities, where otherwise a third party w ould have to give injections. The desirability and often cost-effectiveness of this was noted. In jection into deep subcutaneous fat, and on the basis of many studies into the tissues of the abdominal wall for mealtime unmodified human insulin, are generally advised and logically based. However the needs and beliefs of individuals in giving their own insulin were felt to be of importance. Simple logic also leads to the conclusion that rotation of injection sites should be within one region rather than between regions. Group members (both clinicians and people w ith diabetes) expressed a widespread experience of repeated self-injection with the same needle without problems arising. The group considered the utility of recommending advice on cleanliness for those who choose to re-use needles, but noted the regulatory position from the Me dicines and Healthcare Products Regulatory Agency (MHRA, formerly the Medical Devices Ag ency) in the bulletin DB2000(04). Consequently, the guideline cannot make such a re co mmendation. Other common sense issues included provision for sharps disposal, and ch eck on the condition of injection sites annually or if blood glucose control problems worsen."
"CG15AdultS14","Blood glucose control and insulin therapy","Hypoglycaemia: prevention of hypoglycaemia, problems related to
hypoglycaemia and management of symptomatic hypoglycaemia","Hy poglycaemia is, for most people using insulin therapy, an inevitable consequence of the erratic absorption of insulin from subcutaneous tissue after depot injection or infusion, c oupled with absence of feedback to insulin need when changes in planned activity or eating occur once the injection has been given. Hypoglycaemia is usually unpleasant, often becomes a source of fear, and can be an embarrassment as well as a safety risk. Accordingly, while careful ch oice of insulin regimen (section 7.3) informed by self-monitoring (section 6.2) is important in ameliorating this problem, other preventative measures are of importance. A higher level of optimised management is needed when hypoglycaemia and its related problems do occur.","The group noted this was an area of considerable importance to people with Type 1 diabetes, but that prevention of hypoglycaemia was considered appropriately under insulin therapy re co mmendations, and secondarily under education and lifestyle issues. The group noted issues re lated to absorption and ingestion of free carbohydrate in people with decreased conscious level. They were concerned that recurrent hypoglycaemia was properly considered in a medical co ntext, and not simply attributed to lifestyle problems secondary to insulin therapy. Hy poglycaemia unawareness was also noted to be an important issue, and be partially reversible and capable of useful management, as now is nocturnal hypoglycaemia (it was noted that the re co mmendations on insulin therapy and clinical monitoring addressed other aspects of such management). No useful hard evidence was available for cognitive decline occurring in people w ith Type 1 diabetes, but the possibility of recurrent severe hypoglycaemia being a contributory factor was felt worth mentioning. The group noted that the ease and safety of administration of glucagon compared to IV glucose (risk of extravasation) meant that in most situations it was the treatment of choice. While it was re co g nised that there were groups of people to whom the identified studies do not apply (starvation, alcohol toxic), and that these people would not be expected to respond well to gl ucagon, it was agreed that the best means of detecting this was by absence of a response to gl ucagon at 10 minutes. Safe follow-up management after either therapy should include oral carbohydrate and awareness of risk of relapse. Users of glucagon injections need appropriate education and training."
"CG15AdultS15","Arterial risk control","Identification of arterial risk","People with Type 1 diabetes are generally recognised to be at greatly increased risk of arterial disease (CVD) in middle age. While the literature on arterial risk factors and markers in the general population is large, it would not appear to follow that the findings can be simply carried ov er to people with Type 1 diabetes. Similarly, the tools used to quantify arterial risk in the general population are known not to work well in people with Type 2 diabetes, and seem even less likely to be valid in Type 1 diabetes.","The group recognised the very considerable difficulties in reaching conclusions from the ev idence in this area. Very little direct information pertaining to people with Type 1 diabetes can be ascertained, whilst the importance of the issue is emphasised by the very high early arterial disease (CVD) risk run by people with Type 1 diabetes. Nevertheless certain sub-groups are known to be at particularly high risk (people with raised albumin excretion rate (micro- albuminuria)), while others combine Type 1 diabetes with combinations of classic risk factors ty pical of the metabolic syndrome and known to be predictors of high arterial risk in people w ith Type 2 diabetes and indeed non-diabetic po pulations. A further group of people will co mbine Type 1 diabetes with a single arterial risk factor or risk marker, while yet others will have Type 1 diabetes but appear low risk otherwise. Ac co r dingly the important factors for surveillance are urinary albumin excretion (most important), other classical risk factors including full lipid profile, and risk markers such as age, family history and some ethnic groups. In accordance with the principle of unified organisation of care, monitoring of these factors annually is to be recommended, but it was recognised that in low risk individuals technology might become capable of programming longer review intervals for serum lipids. The group recognised that different ways of using information from a full lipid profile (calculated LDL and HDL separately, calculation of total: HDL cholesterol ratio, calculation of non-HDL cholesterol) are in use. While the group preferred the first of these as not mixing lipid abnormalities of different pathogenesis, and being a better route to using the treatments for different lipid disorders rationally, it was recog nised that there was not good evidence to suggest supporting one approach over the others. The group could find no confidence in any risk table, engine or equation when applied to people with Type 1 diabetes."
"CG15AdultS16","Arterial risk control","Interventions to reduce risk and to manage arterial disease","Prevention of arterial risk in people with Type 1 diabetes, through attention to blood glucose co ntrol (insulin therapy, patient education, nutrit ion, self-monitoring) is considered elsewhere in this guideline, and blood pressure management in 8.3, below. However, in the general population (at much lower risk) and in people with Type 2 diabetes other therapies are known to re duce the risk of arterial events. The current section therefore deals with these approaches as applied to people with Type 1 diabetes.","The data on arterial risk management in people with Type 1 diabetes are few, though it is noted that studies in people with and without Type 2 diabetes point to clinically effective interventions for those groups. In the absence of quantitative risk assessment and noting the economic evidence placed before the group it seemed clear that interventions in people with Ty pe 1 diabetes must be recommended considering their semi-quantitative arterial disease risk: high, moderate or no risk. Given the high arterial risk of many people with Type 1 diabetes, smoking was considered to be particularly disadvantageous."
"CG15AdultS17","Arterial risk control","Blood pressure","",""
"CG15AdultS18","Management of late complications: diabetic eye disease","Retinopathy surveillance programmes","",""
"CG15AdultS19","Management of late complications: diabetic eye disease","Screening tests for retinopathy","",""
"CG15AdultS20","Management of late complications: diabetic eye disease","Referral","",""
"CG15AdultS21","Management of late complications: diabetic eye disease","Non-surgical treatment of diabetic retinopathy","",""
"CG15AdultS22","Management of late complications: diabetic kidney disease","Kidney damage","",""
"CG15AdultS23","Management of late complications: diabetes foot problems","Screening and surveillance of diabetic foot problems","",""
"CG15AdultS24","Management of late complications: diabetes foot problems","Management of foot ulceration and associated risk factors","",""
"CG15AdultS25","Management of late complications: diabetes nerve damage","Diagnosis and management of erectile dysfunction","",""
"CG15AdultS26","Management of late complications: diabetes nerve damage","Diagnosis and management of autonomic neuropathy","",""
"CG15AdultS27","Management of late complications: diabetes nerve damage","Optimum management of painful neuropathy","",""
"CG15AdultS28","Management of special situations","Adults who are newly diagnosed","",""
"CG15AdultS29","Management of special situations","Diabetic ketoacidosis","",""
"CG15AdultS30","Management of special situations","Inpatient management","",""
"CG15AdultS31","Management of special situations","Associated illness","",""
"CG15AdultS32","Management of special situations","Psychological problems ","",""
"CG15AdultS33","Management of special situations","Eating disorders","",""
"CG10S1","Foot care: general management approach","Foot care: general management approach","Shared care has been defined as “the joint participation of hospital consultants and general  practitioners in the planned delivery of care for patients with a chronic condition, informed by  enhanced information exchange over and above routine discharge and referral notices” (Hickman et  al, 1994). Studies of the consequences of organising care have used several models: e.g. devolving  care of certain patients to primary care until a problem occurs, or retaining annual visits to a  hospital clinic with interim care in general practice. Details of the workings of a number of shared care schemes in the UK have been reviewed (Greenhalgh, 1994). 
","No evidence was found to specify the precise components, or method of transmission, of information, but the guideline development group felt it was good practice when organising services to give careful consideration to communication between primary care and specialist services. A multi-disciplinary group was set up, under the aegis of the British Diabetic Association, to report on the implementation of the St Vincent Declaration guidelines with respect to diabetic feet (Edmonds et al, 1996). Among its recommendations was specific consideration of the role of co-ordinated multi-disciplinary teams in providing care. This detailed the respective roles of the chiropodist, diabetologist, general practitioner, nurse, orthotist, radiologist and surgeon arranged variously in hospital, community care and vascular service teams. There isno formal comparative evidence to indicate if any optimal arrangement of health care professionals in the care of diabetic feet exists. However, the guideline development group felt it is good practice to ensure that a multi disciplinary team of professionals are available and co-ordinated to promptly provide the full range of appropriate services to patients."
"CG10S2","Foot care: general management approach","Patient Education","Educational strategies seek to address the perception that whilst relatively simple actions by the 
patient and physician may minimise foot complications, often these simple procedures are not 
systematically applied. This may happen because patients are unaware, are embarrassed or do not 
understand the importance of basic care. It may be because specialist services (in foot care: 
podiatry, orthotics or orthopaedics) are unavailable or have long waiting lists. Finally, the health 
care system may not be organised in such a way that regular examination by, and education from, 
health care professionals does occur (Cohen, 1983). Recent studies are a response to evidence from 
surveys which suggest that people with diabetes may not have sufficient skills or knowledge to 
properly manage the disease (Thomson et al, 1992; Masson et al, 1989; Collier, 1971). The 
common elements of patient education are foot hygiene, awareness of fungal infections, and actions 
required for cutaneous injuries.","The available studies provide inconsistent messages about the value of education and interpretation is weakened by small studies, different endpoints used by different investigators, and lack of a  common approach. Only two of the larger studies reported serious lesions as endpoints. One  indicated that where patients agree behavioural contracts and receive periodic reminders then foot  ulcers could be prevented over 1 year (Litzelman et al 1993). Another study, spacing nine  educational sessions over 18 months and using a range of teaching media, found no significant  change, (Bloomgarden et al, 1987). A further factor complicating interpretation is that patients  enrolled in studies may be at certain phases in disease processes making their clinical values atypical. Consequently both treatment and control groups may show considerable improvement 
over the period of follow-up (regression to the mean) making analyses of findings more complex. 
Intensive, prompted education requiring action from both patients and clinicians may reduce foot 
complications over relatively short-term periods of time although the evidence is inconclusive 
concerning the best method. Available trials of education feature inadequate follow-up to assess the 
potential for primary care prevention of foot complications. The value of education interventions in 
the longer term is unknown and it is likely that important messages and habits will need reinforcing 
periodically in patients and health professionals. Better foot care awareness in patients and health 
professionals will be worthwhile if it increases the likelihood of early detection and appropriate 
response to factors raising the likelihood of ulceration. 
The guideline development group also considered the issues of what key points/topics should be 
covered in patient education, particularly from the viewpoint of what would people with diabetes 
need to know about in relation to foot care. Whilst recognising that that it was not possible to give 
definitive answers in this area, they have produced a framework of key points that might provide a 
useful starting point. This was developed from a consensus of the guideline development group 
rather than from research literature, as this is not available This framework is presented in Appendix 
26. 
"
"CG10S3","Foot examination and monitoring 
","Foot examination and monitoring ","Fundamental foot care in people with diabetes involves adequate monitoring and the opportunity to reinforce messages of self-care (Boulton et al, 1998). Many people with diabetes are unable to 
perform this monitoring because of poor eyesight and reduced mobility, making it difficult to inspect their feet (Thomson et al, 1992; Masson et al, 1989), thus regular contact between professionals and patients is important (Edmonds et al, 1996). Regular foot inspection by a health care professional should include visual inspection of the legs, dorsal, plantar and posterior surfaces of the foot and between the toes. Vascular examinations involve palpation of the pulses in the lower extremities and inspection of the feet and legs for evidence of ischaemic changes. Musculoskeletal evaluation includes foot and ankle range of motion inspection for bone abnormalities and analysis of gait and stance. Neurological examinations may include tests for vibration by a biothesiometer, tuning fork (only calibrated tuning forks should be used), or cutaneous pressure sensation using a 10 gram monofilament. The ability to identify feet at risk of ulceration has been demonstrated prospectively in studies.","No direct evidence was found to identify the optimal content or frequency of visual inspections and examinations, but regular surveillance at a minimum frequency of once annually was held by the guideline development group to be good clinical practice where no complications have previously  been found. The benefits of monitoring people with diabetes without foot complications arise from  the ability to detect feet at raised risk and the reduced morbidity achieved by aggressive  intervention. Hence primary and secondary care should work together to identify a package of care  for patients at raised risk of ulceration. 
Adequate glycaemic control has been demonstrated to reduce the incidence and progression of  microvascular disease in Type 1 (insulin dependent diabetes) patients (Diabetes Control and  Complications Trial Research Group, 1993; Reichard et al, 1993). Direct evidence that improved  glucose control will equally benefit Type 2 diabetes patients (for whom macrovascular, rather than  microvascular, complications are of greater relative importance) is inadequate. A review of  available epidemiological and trial evidence suggested a trend towards greater neuropathy with poor  glycaemic control but the evidence is far from conclusive (Gaster et al, 1998). The UK Prospective  Diabetes Study, which reported in 1998, discussed the impact of differing levels of glycaemic and  blood pressure control in terms of macro and micro vascular disease but did not report specific outcomes concerning diabetic foot ulcers. 
"
"CG10S4","Risk factors 
","Risk factors ","Epidemiological and clinical risk factors for ulceration have been extensively but inconclusively researched. 
","The guideline development group felt it was important that specific consideration should be given 
to organising care to ensure adequate supervision of these patients with risk factors although there is 
no available evidence concerning the most appropriate process"
