"Question GUID","Search Strategy GUID"
"CG10Q1","CG66SS8"
"CG10Q1","CG66SS9"
"CG10Q1","CG66SS10"
"CG10Q1","CG66SS11"
"CG10Q1","CG66SS12"
"CG10Q1","CG66SS13"
"CG10Q1","CG66SS14"
"CG10Q1","CG66SS15"
"CG10Q2","CG66SS1"
"CG10Q2","CG66SS2"
"CG10Q2","CG66SS3"
"CG10Q2","CG66SS4"
"CG10Q2","CG66SS5"
"CG10Q2","CG66SS6"
"CG10Q2","CG66SS7"
"CG10Q2","CG66SS8"
"CG10Q2","CG66SS9"
"CG10Q2","CG66SS10"
"CG10Q2","CG66SS11"
"CG10Q2","CG66SS12"
"CG10Q2","CG66SS13"
"CG10Q2","CG66SS14"
"CG10Q2","CG66SS15"
"CG10Q3","CG66SS1"
"CG10Q3","CG66SS2"
"CG10Q3","CG66SS3"
"CG10Q3","CG66SS4"
"CG10Q3","CG66SS5"
"CG10Q3","CG66SS6"
"CG10Q3","CG66SS7"
"CG10Q3","CG66SS8"
"CG10Q3","CG66SS9"
"CG10Q3","CG66SS10"
"CG10Q3","CG66SS11"
"CG10Q3","CG66SS12"
"CG10Q3","CG66SS13"
"CG10Q3","CG66SS14"
"CG10Q3","CG66SS15"
"CG10Q4","CG66SS1"
"CG10Q4","CG66SS2"
"CG10Q4","CG66SS3"
"CG10Q4","CG66SS4"
"CG10Q4","CG66SS5"
"CG10Q4","CG66SS6"
"CG10Q4","CG66SS7"
"CG10Q4","CG66SS8"
"CG10Q4","CG66SS9"
"CG10Q4","CG66SS10"
"CG10Q4","CG66SS11"
"CG10Q4","CG66SS12"
"CG10Q4","CG66SS13"
"CG10Q4","CG66SS14"
"CG10Q4","CG66SS15"
"PH38Q1","PH38SS1"
"PH38Q1","PH38SS2"
"PH38Q1","PH38SS3"
"PH38Q1","PH38SS4"
"PH38Q1","PH38SS5"
"PH38Q1","PH38SS6"
"PH38Q1","PH38SS7"
"PH38Q1","PH38SS8"
"PH38Q1","PH38SS9"
"PH38Q1","PH38SS10"
"PH38Q2","PH38SS11"
"PH38Q2","PH38SS12"
"PH38Q2","PH38SS13"
"PH38Q2","PH38SS14"
"PH38Q2","PH38SS15"
"PH38Q2","PH38SS16"
"PH38Q2","PH38SS17"
"PH38Q2","PH38SS18"
"PH38Q3","PH38SS19"
"PH38Q3","PH38SS20"
"PH38Q3","PH38SS21"
"PH38Q3","PH38SS22"
"PH38Q3","PH38SS23"
"PH38Q3","PH38SS24"
"PH38Q3","PH38SS25"
"PH38Q3","PH38SS26"
"PH38Q3","PH38SS27"
"PH38Q4","PH38SS28"
"PH38Q4","PH38SS29"
"PH38Q4","PH38SS30"
"PH38Q4","PH38SS31"
"PH38Q4","PH38SS32"
"PH38Q4","PH38SS33"
"PH38Q4","PH38SS34"
"PH38Q4","PH38SS35"
"PH38Q4","PH38SS36"
"PH38Q5","PH38SS37"
"PH38Q5","PH38SS38"
"PH38Q5","PH38SS39"
"PH38Q5","PH38SS40"
"PH38Q5","PH38SS41"
"PH38Q5","PH38SS42"
"PH38Q5","PH38SS43"
"PH38Q5","PH38SS44"
"PH38Q5","PH38SS45"
"PH38Q6","PH38SS46"
"PH38Q6","PH38SS47"
"PH38Q6","PH38SS48"
"PH38Q6","PH38SS49"
"PH38Q6","PH38SS50"
"PH38Q6","PH38SS51"
"PH38Q6","PH38SS52"
"PH38Q6","PH38SS53"
"PH38Q6","PH38SS54"
"PH38Q7","PH38SS55"
"PH38Q7","PH38SS56"
"PH38Q7","PH38SS57"
"PH38Q7","PH38SS58"
"PH38Q7","PH38SS59"
"PH38Q7","PH38SS60"
"PH38Q7","PH38SS61"
"PH38Q7","PH38SS62"
"PH38Q7","PH38SS63"
"CG66Q1","CG66SS1"
"CG66Q1","CG66SS2"
"CG66Q1","CG66SS3"
"CG66Q1","CG66SS4"
"CG66Q2","CG66SS5"
"CG66Q2","CG66SS6"
"CG66Q2","CG66SS7"
"CG66Q2","CG66SS8"
"CG66Q3","CG66SS9"
"CG66Q3","CG66SS10"
"CG66Q3","CG66SS11"
"CG66Q3","CG66SS12"
"CG66Q4","CG66SS13"
"CG66Q4","CG66SS14"
"CG66Q4","CG66SS15"
"CG66Q4","CG66SS16"
"CG66Q5","CG66SS17"
"CG66Q5","CG66SS18"
"CG66Q5","CG66SS19"
"CG66Q5","CG66SS20"
"CG66Q6","CG66SS21"
"CG66Q6","CG66SS22"
"CG66Q6","CG66SS23"
"CG66Q6","CG66SS24"
"CG66Q7","CG66SS25"
"CG66Q7","CG66SS26"
"CG66Q7","CG66SS27"
"CG66Q7","CG66SS28"
"CG66Q8","CG66SS29"
"CG66Q8","CG66SS30"
"CG66Q8","CG66SS31"
"CG66Q8","CG66SS32"
"CG66Q9","CG66SS33"
"CG66Q9","CG66SS34"
"CG66Q9","CG66SS35"
"CG66Q9","CG66SS36"
"CG66Q10","CG66SS37"
"CG66Q10","CG66SS38"
"CG66Q10","CG66SS39"
"CG66Q10","CG66SS40"
"CG66Q11","CG66SS41"
"CG66Q11","CG66SS42"
"CG66Q11","CG66SS43"
"CG66Q11","CG66SS44"
"CG66Q12","CG66SS45"
"CG66Q12","CG66SS46"
"CG66Q12","CG66SS47"
"CG66Q12","CG66SS48"
"CG73Q1","CG73SS01"
"CG73Q2","CG73SS02"
"CG73Q3","CG73SS05"
"CG73Q4","CG73SS06"
"CG73Q5","CG73SS03"
"CG73Q6","CG73SS07"
"CG73Q7","CG73SS04"
"CG73Q8","CG73SS08"
"CG73Q9","CG73SS09"
"CG73Q10","CG73SS10"
"CG73Q11","CG73SS11"
"CG87Q11","CG87SS1"
"CG87Q12","CG87SS1"
"CG87Q13","CG87SS1"
"CG87Q14","CG87SS1"
"CG87Q15","CG87SS1"
"CG87Q16","CG87SS1"
"CG87Q1","CG87SS2"
"CG87Q2","CG87SS2"
"CG87Q3","CG87SS2"
"CG87Q4","CG87SS2"
"CG87Q5","CG87SS2"
"CG87Q6","CG87SS2"
"CG87Q7","CG87SS2"
"CG87Q8","CG87SS2"
"CG87Q17","CG87SS3"
"CG87Q18","CG87SS3"
"CG173Q1","CG173SS1"
"CG173Q1","CG173SS2"
"CG173Q1","CG173SS3"
"CG173Q1","CG173SS4"
"CG173Q1","CG173SS5"
"CG173Q1","CG173SS6"
"CG173Q1","CG173SS7"
"CG173Q1","CG173SS8"
"CG173Q1","CG173SS9"
"CG173Q2","CG173SS10"
"CG173Q2","CG173SS11"
"CG173Q2","CG173SS12"
"CG173Q2","CG173SS13"
"CG173Q2","CG173SS14"
"CG173Q2","CG173SS15"
"CG173Q2","CG173SS16"
"CG173Q2","CG173SS17"
"CG173Q2","CG173SS18"
"IPG257Q1","IPG257SS1"
"IPG257Q1","IPG257SS2"
"IPG257Q1","IPG257SS3"
"IPG257Q1","IPG257SS4"
"IPG257Q1","IPG257SS5"
"IPG257Q1","IPG257SS6"
"IPG257Q1","IPG257SS7"
"IPG257Q1","IPG257SS8"
"IPG257Q1","IPG257SS9"
"IPG257Q1","IPG257SS10"
"TA71Q1","TA71SS01"
"TA152Q1","TA152SS01"
"TA152Q1","TA152SS02"
