"Recommendation GUID","Recommendation body","Recommendation title","Recommendation Grade Code","Set GUID"
"CG15R1.8.1.1","A programme of structured diabetes education covering all major aspects of diabetes self-care and the reasons for it should be made available to all adults with Type 1 diabetes in the months after diagnosis, and periodically thereafter according to agreed need following yearly assessment.","Structured diabetes education","A","CG15AdultS5"
"CG15R1.8.1.2","Education programmes for adults with Type 1 diabetes should be flexible so that they can be adapted to specific educational, social and cultural needs. These needs should be integrated with individual health needs as dictated by the impact of diabetes and other re levant health conditions on the individual.","Flexible education programmes","D","CG15AdultS5"
"CG15R1.8.1.3","Education programmes for adults with Type 1 diabetes should be designed and delivered by members of the multidisciplinary diabetes team in accordance with the principles of adult education","Education designed and delivered by multidisciplinary team","D","CG15AdultS5"
"CG15R1.8.1.4","Education programmes for adults with Type 1 diabetes should include modules designed to empower adults to participate in their own healthcare through:
? enabling them to make judgements and choices about how they effect that care
? obtaining appropriate input from the professionals available to advise them.","Empower adults to particpate in their own healthcare","D","CG15AdultS5"
"CG15R1.8.1.5","Pr ofessionals engaged in the delivery of diabetes care should consider incorporating educational interchange at all opportunities when in contact with a person with Ty pe 1 diabetes. The professional should have the skills and training to make best use of such time.","Educational interchange","D","CG15AdultS5"
"CG15R1.8.1.6","More formal review of self-care and needs should be made annually in all adults with Type 1 diabetes, and the agenda addressed each year should vary according to the priorities agreed between the healthcare professional and the person with Type 1 diabetes. ","Formal review of self-care and needs","D","CG15AdultS5"
"CG15R1.8.2.1","Self-monitoring of blood glucose levels should be used as part of an integrated package that includes appropriate insulin regimens and education to help choice and achievement of optimal diabetes outcomes.","Self-monitoring of blood glucose levels","D","CG15AdultS6"
"CG15R1.8.2.2","Self-monitoring skills should be taught close to the time of diagnosis and initiation of insulin therapy. ","Teaching self-monitoring skills","D","CG15AdultS6"
"CG15R1.8.2.3","Self-monitoring results should be interpreted in the light of clinically significant life events. ","Interpreting self-monitoring results","D","CG15AdultS6"
"CG15R1.8.2.4","Self-monitoring should be performed using meters and strips chosen by adults with Type 1 diabetes to suit their needs, and usually with low blood requirements, fast analysis times and integral memories. ","Performing self-monitoring","D","CG15AdultS6"
"CG15R1.8.2.5","Structured assessment of self-monitoring skills, the quality and use made of the results obtained and the equipment used should be made annually. Self-monitoring skills should be reviewed as part of annual review or, more frequently, according to need and reinforced where appropriate. ","Annual assessment of self-monitoring skills and equipment","D","CG15AdultS6"
"CG15R1.8.2.6","Adults with Type 1 diabetes should be advised that the optimal frequency of self-monitoring will depend on:
? the characteristics of their blood glucose control
? the insulin treatment regimen
? personal preference in using the results to achieve the desired lifestyle. ","Frequency of self-monitoring","D","CG15AdultS6"
"CG15R1.8.2.7","Adults with Type 1 diabetes should be advised that the optimal targets for short-term glycaemic control are:
? a pre-prandial blood glucose level of 4.0–7.0 mmol/l and
? a post-prandial blood glucose level of less than 9.0 mmol/l. 
Note: These values are different to those given in the recommendations for children and young people with Type 1 diabetes because of clinical differences between these two age groups.","Advise of optimal targets for short-term glycaemic control","D","CG15AdultS6"
"CG15R1.8.2.8","Monitoring using sites other than the finger tips (often the forearm, using meters that require small volumes of blood and devices to obtain those small volumes) cannot be recommended as a routine alternative to conventional self-blood glucose monitoring.","Self-monitoring sites","D","CG15AdultS6"
"CG15R1.8.3.1","Nutritional information sensitive to personal needs and culture should be offered from the time of diagnosis of Type 1 diabetes.","Offer nutritional information at time of diagnosis","D","CG15AdultS7"
"CG15R1.8.3.2","Nutritional information should be offered individually and as part of a diabetes education programme (see ‘Patient Education’ recommendations in this chapter (R12-17). Information should include advice from professionals with specific and approved training and continuing accredited education in delivering nutritional advice to people with health conditions. Opportunities to receive nutritional advice should be offered at intervals agreed between adults with Type 1 diabetes and their advising professionals.","Nutritional information","D","CG15AdultS7"
"CG15R1.8.3.3","The hyperglycaemic effects of different foods a person with Type 1 diabetes wishes to eat should be discussed in the context of the insulin preparations chosen to match those food choices. ","hyperglycaemic effects of different foods","A","CG15AdultS7"
"CG15R1.8.3.4","Programmes should be available to adults with Type 1 diabetes to enable them to make:
? optimal choices about the variety of foods they wish to consume
? insulin dose changes appropriate to reduce glucose excursions when taking different quantities of those foods.","Programme aims","A","CG15AdultS7"
"CG15R1.8.3.5","The choice of content, timing and amount of snacks between meals or at bedtime available to the person with Type 1 diabetes should be agreed on the basis of informed discussion about the extent and duration of the effects of consumption of different food types and the insulin preparations available to match them. Those choices should be modified on the basis of discussion of the results of self-monitoring tests.","Snacks","D","CG15AdultS7"
"CG15R1.8.3.6","Information should also be made available on:
? effects of different alcohol-containing drinks on blood glucose excursions and calorie intake
? use of high calorie and high sugar ‘treats’
? use of foods of high glycaemic index","Alcohol and treats","D","CG15AdultS7"
"CG15R1.8.3.7","In formation about the benefits of healthy eating in reducing arterial risk should be made available as part of dietary education in the period after diagnosis, and according to need and interest at intervals thereafter. This should include information about low gl yc aemic index foods, fruit and vegetables, and types and amounts of fat, and ways of making the appropriate nutritional changes.","Healthy eating benefits","D","CG15AdultS7"
"CG15R1.8.3.8","Nutritional recommendations to individuals should be modified to take account of associated features of diabetes, including:
? excess weight and obesity
? underweight
? eating disorders
? raised blood pressure
? renal failure","Factors affecting nutritional recommendations","D","CG15AdultS7"
"CG15R1.8.3.9","All healthcare professionals providing advice on the management of Type 1 diabetes should be aware of appropriate nutritional advice on common topics of concern and interest to adults living with Type 1 diabetes, and should be prepared to seek advice from colleagues with more specialised knowledge. Suggested common topics include:
? glycaemic index of specific foods
? body weight, energy balance and obesity management
? cultural and religious diets, feasts and fasts
? foods sold as ‘diabetic’
? sweeteners
? dietary fibre intake
? protein intake
? vitamin and mineral supplements
? alcohol
? matching carbohydrate, insulin and physical activity
? salt intake in hypertension
? co-morbidities including nephropathy and renal failure, coeliac disease, cystic fibrosis or eating disorders
? use of peer support groups.","Healthcare professionals should be aware of common topics of concern","D","CG15AdultS7"
"CG15R1.8.4.1","Adults with Type 1 diabetes should be advised that physical activity can reduce their enhanced arterial risk in the medium and longer term. ","Advise that physical activity can reduce enhanced arterial risk","C","CG15AdultS8"
"CG15R1.8.4.2","Adults with Type 1 diabetes who choose to integrate increased physical activity into a more healthy lifestyle should be offered information about:
? appropriate intensity and frequency of physical activity
? role of self-monitoring of changed insulin and/or nutritional needs
? effect of activity on blood glucose levels (a fall is likely) when insulin levels are adequate
? effect of exercise on blood glucose levels when hyperglycaemic and hypoinsulinaemic (risk of worsening of hyperglycaemia and ketonaemia)
? appropriate adjustments of insulin dosage and/or nutritional intake for exercise and post-exercise periods, and the next 24 hours
? interactions of exercise and alcohol
? further contacts and sources of information.","Offer additional advice about physical activity","D","CG15AdultS8"
"CG15R??","Each adult with Type 1 diabetes should be managed as an individual, rather than as a member of any cultural, economic or health-affected group. Attention should be paid to the recommendations given elsewhere in this guideline with respect to the cultural preferences of individual adults with Type 1 diabetes","Manage as an individual","D","CG15AdultS9"
"CG15R1.9.1.1","Clinical monitoring of blood glucose levels by high precision DCCT-aligned methods of haemoglobin A 1c (HbA 1c ) should be performed every two to six months depending on: 
? achieved level of blood glucose control 
? stability of blood glucose control 
? change in insulin dose or regimen","Clinical monitoring of blood glucose levels","D","CG15AdultS10"
"CG15R1.9.1.2","Site-of-care measurement, or measurement before clinical consultation, should be provided.","Site-of-care measurement","D","CG15AdultS10"
"CG15R1.9.1.3","HbA1c results should be communicated to the person with Type 1 diabetes after each measurement. The term ‘A1c’ can be used for simplicity.","Communicate HbA1c results after each measurement","D","CG15AdultS10"
"CG15R1.9.1.4","Total glycated haemoglobin (GHb) estimation, or assessment of glucose profiles, should be used where haemoglobinopathy or haemoglobin turnover invalidate HbA1c measurement.","Invalidated HbA1c measurement","A","CG15AdultS10"
"CG15R1.9.1.5","Fructosamine should not be used as a routine substitute for HbA1c estimation. ","Fructosamine should not be used as a routine substitute for HbA1c estimation","A","CG15AdultS10"
"CG15R1.9.1.6","Continuous glucose monitoring systems have a role in the assessment of glucose profiles in adults with consistent glucose control problems on insulin therapy, notably:
? repeated hyper- or hypoglycaemia at the same time of day
? hypoglycaemia unawareness, unresponsive to conventional insulin dose adjustment. ","Continuous glucose monitoring systems","A","CG15AdultS10"
"CG15R1.9.2.1","Adults with Type 1 diabetes should be advised that maintaining a DCCT-harmonised HbA 1c below 7.5% is likely to minimise their risk of developing diabetic eye, kidney or nerve damage in the longer term.","Maintaining a DCCT-harmonised HbA 1c below 7.5%","B","CG15AdultS11"
"CG15R1.9.2.2","Adults with Type 1 diabetes who want to achieve an HbA 1c down to, or towards, 7.5% should be given all appropriate support in their efforts to do so.","Support Adults wanting HbA 1c down to, or towards, 7.5%","D","CG15AdultS11"
"CG15R1.9.2.3","Where there is evidence of increased arterial risk (identified by a raised albumin excretion rate, features of the metabolic syndrome, or other arterial risk factors) people w ith Type 1 diabetes should be advised that approaching lower HbA 1c levels (for e xample 6.5% or lower) may be of benefit to them. Support should be given to approaching this target if so wished.","Advise lower HbA1c where increased arterial risk","NICE","CG15AdultS11"
"CG15R1.9.2.4","Where target HbA 1c levels are not reached in the individual, adults with Type 1 diabetes should be advised that any improvement is beneficial in the medium and long term, and that greater improvements towards the target level lead to greater absolute gains.","Advise any improvement is beneficial where  target HbA 1c levels are not reached","B","CG15AdultS11"
"CG15R1.9.2.5","Undetected hypoglycaemia and an attendant risk of unexpected disabling hypoglycaemia or of hypoglycaemia unawareness should be suspected in adults with Type 1 diabetes who have:
? lower HbA1c levels, in particular levels in or approaching the normal reference range (DCCT harmonised <6.1%)
? HbA1c levels lower than expected from self-monitoring results.","Undetected hypoglycaemia","D","CG15AdultS11"
"CG15R1.9.2.6","Where experience or risk of hypoglycaemia is significant to an individual, or the effort needed to achieve target levels severely curtails other quality of life despite optimal use of current diabetes technologies, tighter blood glucose control should not be pursued without balanced discussion of the advantages and disadvantages.","Balance blood glucose control and quality of life","D","CG15AdultS11"
"CG15R1.9.3.1","Adults with Type 1 diabetes should have access to the types (preparation and species) of insulin they find allow them optimal well-being.","Access to insulin","A","CG15AdultS12"
"CG15R1.9.3.2","Cultural preferences need to be discussed and respected in agreeing the insulin regimen for a person with Type 1 diabetes","Cultural preferences","D","CG15AdultS12"
"CG15R1.9.3.3","M ultiple insulin injection regimens, in adults who prefer them, should be used as part of an integrated package of which education, food and skills training should be integral parts.","Multiple insulin injections","A","CG15AdultS12"
"CG15R1.9.3.4","Appropriate self-monitoring and education should be used as part of an integrated package to help achieve optimal diabetes outcomes.","Appropriate self-monitoring and education","D","CG15AdultS12"
"CG15R1.9.3.5","Mealtime insulin injections should be provided by injection of unmodified (‘soluble’) insulin or rapid-acting insulin analogues before main meals.","Mealtime insulin injections","D","CG15AdultS12"
"CG15R1.9.3.6","Rapid-acting insulin analogues should be used as an alternative to mealtime unmodified insulin:
? where nocturnal or late inter-prandial hypoglycaemia is a problem
? in those in whom they allow equivalent blood glucose control without use of snacks between meals and this is needed or desired. ","Rapid-acting insulin analogues","A","CG15AdultS12"
"CG15R1.9.3.7","Basal insulin supply (including nocturnal insulin supply) should be provided by the use of isophane (NPH) insulin or long-acting insulin analogues (insulin glargine). Is ophane (NPH) insulin should be given at bedtime. If rapid-acting insulin analogues are given at mealtimes or the midday insulin dose is small or lacking, the need to give isophane (NPH) insulin twice daily (or more often) should be considered.","Basal insulin supply","D","CG15AdultS12"
"CG15R1.9.3.8","Long-acting insulin analogues (insulin glargine) should be used when:
? nocturnal hypoglycaemia is a problem on isophane (NPH) insulin
? morning hyperglycaemia on isophane (NPH) insulin results in difficult daytime blood glucose control
? rapid-acting insulin analogues are used for mealtime blood glucose control.","Long-acting insulin analogues","D","CG15AdultS12"
"CG15R1.9.3.9","Twice-daily insulin regimens should be used by those adults who consider number of daily injections an important issue in quality of life:
? biphasic insulin preparations (pre-mixes) are often the preparations of choice in this circumstance
? biphasic rapid-acting insulin analogue pre-mixes may give an advantage to those prone to hypoglycaemia at night.
Such twice daily regimens may also help:
? those who find adherence to their agreed lunchtime insulin injection difficult
? adults with learning difficulties who may require assistance from others. ","Twice-daily insulin regimens","D","CG15AdultS12"
"CG15R1.9.3.10","Adults whose nutritional and physical activity patterns vary considerably from day-to-day, for vocational or recreational reasons, may need careful and detailed review of their self-monitoring and insulin injection regimen(s). This should include all the appropriate preparations (see R55–7) and consideration of unusual patterns and combinations","variable nutritional and physical activity patterns","D","CG15AdultS12"
"CG15R1.9.3.11","For adults undergoing periods of fasting or sleep following eating (such as during religious feasts and fasts or after night-shift work), a rapid-acting insulin analogue before the meal (provided the meal is not prolonged) should be considered.","periods of fasting or sleep following eating","D","CG15AdultS12"
"CG15R1.9.3.12","For adults with erratic and unpredictable blood glucose control (hyper- and hypoglycaemia at no consistent times), rather than a change in a previously optimised insulin regimen, the following should be considered:
? resuspension of insulin and injection technique
? injection sites
? self-monitoring skills
? knowledge and self-management skills
? nature of lifestyle
? psychological and psychosocial difficulties
? possible organic causes such as gastroparesis. ","adults with erratic and unpredictable blood glucose control","D","CG15AdultS12"
"CG15R1.9.3.13","Continuous subcutaneous insulin infusion (insulin pump therapy) is recommended as an option for people with Type 1 diabetes provided that:
? multiple-dose insulin therapy (including, where appropriate, the use of insuling largine) has failed;* and
? those receiving the treatment have the commitment and competence to use the therapy effectively.","Continuous subcutaneous insulin infusion","NICE","CG15AdultS12"
"CG15R1.9.3.14","Partial insulin replacement to achieve blood glucose control targets (basal insulin only, or just some mealtime insulin) should be consider ed for adults starting insulin therapy, until such time as islet B-cell deficiency progresses further.","Partial insulin replacement to achieve blood glucose control targets","D","CG15AdultS12"
"CG15R1.9.3.15","Clear guidelines and protocols (‘sick day rules’) should be given to all adults with Type 1 diabetes to assist them in adjusting insulin doses appropriately during intercurrent illness.","Clear guidelines and protocols (‘sick day rules’)","D","CG15AdultS12"
"CG15R1.9.3.16","Oral glucose-lowering drugs should generally not be used in the management of adults with Type 1 diabetes.","Oral glucose-lowering drugs","D","CG15AdultS12"
"CG15R1.9.4.1","Adults with Type 1 diabetes who inject insulin should have access to the insulin injection delivery device they find allows them optimal well-being, often using one or more types of insulin injection pen.","access to insulin injection delivery device","D","CG15AdultS13"
"CG15R1.9.4.2","Adults with Type 1 diabetes who have special visual or psychological needs should be provided with injection devices or needle-free systems that they can use independently for accurate dosing","special visual or psychological needs","D","CG15AdultS13"
"CG15R1.9.4.3","Insulin injection should be made into the deep subcutaneous fat. To achieve this, needles of a length appropriate to the individual should be made available.","needles of a length appropriate to the individual","D","CG15AdultS13"
"CG15R1.9.4.4","Adults with Type 1 diabetes should be informed that the abdominal wall is the therapeutic choice for mealtime insulin injections","abdominal wall is the therapeutic choice for mealtime insulin injections","D","CG15AdultS13"
"CG15R1.9.4.5","Adults with Type 1 diabetes should be informed that extended-acting suspension insulin (for example isophane (NPH) insulin) may give a longer profile of action when injected into the subcutaneous tissue of the thigh rather than the arm or abdominal wall.","extended-acting suspension insulin","D","CG15AdultS13"
"CG15R1.9.4.6","Adults with Type 1 diabetes should be recommended to use one anatomical area for the injections given at the same time of day, but to move the precise injection site around in the whole of the available skin within that area.","anatomical area for injections","D","CG15AdultS13"
"CG15R1.9.4.7","Adults with Type 1 diabetes should be provided with suitable containers for the collection of used needles. Arrangements should be available for the suitable disposal of these containers.","containers for the collection of used needles","D","CG15AdultS13"
"CG15R1.9.4.8","Injection site condition should be checked annually, and if new problems with blood glucose control occur.","Check Injection site condition annually","D","CG15AdultS13"
"CG15R1.9.5.1","Adults with Type 1 diabetes should be informed that any available glucose/sucrose containing fluid is suitable for the management of hypoglycaemic symptoms or signs in people who are able to swallow. Glucose containing tablets or gels are also suitable for those able to dissolve or disperse these in the mouth and swallow the products. ","management of hypoglycaemic symptoms","A","CG15AdultS14"
"CG15R1.9.5.2","When a more rapid-acting form of glucose is required, purer glucose-containing solutions should be given.","rapid-acting form of glucose","D","CG15AdultS14"
"CG15R1.9.5.3","Adults with decreased level of consciousness due to hypoglycaemia who are unable to take oral treatment safely should be:
? given intramuscular glucagon by a trained user (intravenous glucose may be used by professionals skilled in obtaining intravenous access)
? monitored for response at 10 minutes, and then given intravenous glucose if the level of consciousness is not improving significantly
? then given oral carbohydrate when it is safe to administer it, and placed under continued observation by a third party who has been warned of the risk of relapse. ","Adults with decreased level of consciousness","D","CG15AdultS14"
"CG15R1.9.5.4","Adults with Type 1 diabetes should be informed that some hypoglycaemic episodes are an inevitable consequence of insulin therapy in most people using any insulin regimen, and that it is advisable that they should use a regimen that avoids or reduces the frequency of hypoglycaemic episodes while maintaining as optimal a level of blood gl ucose control as is feasible. Advice to assist in obtaining the best such balance from any insulin regimen should be available to all adults with Type 1 diabetes. (see section 7.2, ‘Insulin regimens’ and 7.2, ‘Insulin delivery’)","consequences of insulin therapy","B","CG15AdultS14"
"CG15R1.9.5.5","When hypoglycaemia becomes unusually problematic or of increased frequency,review should be made of the following possibly contributory causes:
? inappropriate insulin regimens (incorrect dose distributions and insulin types)
? meal and activity patterns including alcohol
? injection technique and skills including insulin resuspension
? injection site problems
? possible organic causes including gastroparesis
? changes in insulin sensitivity (the latter including drugs affecting the renin- angiotensin system and renal failure)
? psychological problems
? previous physical activity
? lack of appropriate knowledge and skills for self-management. ","When hypoglycaemia becomes unusually problematic","D","CG15AdultS14"
"CG15R1.9.5.6","Hypoglycaemia unawareness should be assumed to be secondary to undetected periods of hypoglycaemia (<3.5 mmol/l, often for extended periods, commonly at night) until these are excluded by appropriate monitoring techniques. If present, such periods of hypoglycaemia should be ameliorated.","Hypoglycaemia unawareness","D","CG15AdultS14"
"CG15R1.9.5.7","Specific education on the detection and management of hypoglycaemia in adults with problems of hypoglycaemia awareness should be offered.","hypoglycaemia awareness","D","CG15AdultS14"
"CG15R1.9.5.8","Nocturnal hypoglycaemia (symptomatic or detected on monitoring) should be managed by:
? reviewing knowledge and self-management skills
? reviewing current insulin regimen and evening eating habits and previous physical activity
? choosing an insulin type and regimen with less propensity to induce low glucose levels in the night hours, such as:
– isophane (NPH) insulin at bedtime
– rapid-acting analogue with the evening meal
– long-acting insulin analogues (insulin glargine)
– insulin pump","Nocturnal hypoglycaemia","D","CG15AdultS14"
"CG15R1.9.5.9","Adults with Type 1 diabetes should be informed that late post-prandial hypoglycaemia may be managed by appropriate inter-prandial snacks, or the use of rapid-acting insulin analogues before meals","late post-prandial hypoglycaemia","D","CG15AdultS14"
"CG15R1.9.5.10","Where early cognitive decline occurs in adults on long-term insulin therapy, normal investigations should be supplemented by co nsideration or investigation of possible brain damage due to overt or covert hypoglycaemia, and the need to ameliorate this.","early cognitive decline","D","CG15AdultS14"
"CG15R1.10.1.1","Arterial risk factors should be assessed annually, and the assessment should include:
? albumin excretion rate
? smoking
? blood glucose control
? blood pressure
? full lipid profile (including HDL and LDL cholesterol and triglycerides)
? age
? family history of arterial disease (CVD)
? abdominal adiposity.","Arterial risk factors should be assessed annually","C","CG15AdultS15"
"CG15R1.10.1.2","Arterial risk tables, equations or engines for calculation of arterial risk should not be used because they underestimate risk in adults with Type 1 diabetes.","Arterial risk tables, equations or engines for calculation of arterial risk should not be used","DS","CG15AdultS15"
"CG15R1.10.1.3","Adults with raised albumin excretion rate (microalbuminuria), or two or more features of the metabolic syndrome (see Table 4), should be managed as the highest risk category (as though they had Type 2 diabetes or declared arterial disease).","raised albumin excretion rate","D","CG15AdultS15"
"CG15R1.10.1.4","Adults with Type 1 diabetes who are not in the highest risk category but who have other arterial risk factors (increasing age over 35 years, family history of premature heart disease, of ethnic group with high risk or with more severe abnormalities of blood lipids or blood pressure) should be managed as a moderately high risk group.","moderately high risk groups","D","CG15AdultS15"
"CG15R1.10.1.5","Where there is no evidence of additional arterial risk, the management of lipids and blood pressure should follow normal procedures for the non-diabetes population, using appropriate clinical guidelines.","management of lipids and blood pressure","D","CG15AdultS15"
"CG15R1.10.2.1","Adults with Type 1 diabetes who smoke should be given advice on smoking cessation and use of smoking cessation services, including NICE guidance-recommended therapies. The messages should be reinforced in continuing smokers yearly if pre-contemplative of stopping, and at all clinical contacts if there is a prospect of their stopping.","advice on smoking cessation","D","CG15AdultS16"
"CG15R1.10.2.2","Young adult non-smokers should be advised never to start smoking.","Young adult non-smokers should be advised never to start smoking","D","CG15AdultS16"
"CG15R1.10.2.3","Aspirin therapy (75 mg daily) should be recommended in adults in the highest and moderately-high risk categories","Aspirin therapy for highest and moderately-high risk categories","B","CG15AdultS16"
"CG15R1.10.2.4","A standard dose of a statin should be recommended for adults in the highest risk and moderately-high risk groups. Therapy should not be stopped if alanine aminotransferase (ALT) is raised to less than three times the upper limit of reference range","statin for highest risk and moderately-high risk groups","B","CG15AdultS16"
"CG15R1.10.2.5","If several statins are not tolerated, fibrates and other lipid-lowering drugs should be considered as indicated according to assessed arterial risk status","fibrates and other lipid-lowering drugs","D","CG15AdultS16"
"CG15R1.10.2.6","Fibrates should be recommended for adults with hypertriglyceridaemia according to local lipid-lowering guidelines, and arterial disease risk status.","Fibrates for hypertriglyceridaemia","D","CG15AdultS16"
"CG15R1.10.2.7","Responses to therapy should be monitored by assessment of lipid profile. If the response is unsatisfactory, the following causes should be considered: non-concordance, inappropriate drug choice and the need for combination therapy","Monitoring responses to therapy","D","CG15AdultS16"
"CG15R1.10.2.8","Adults who have had myocardial infarction or stroke should be managed intensively, according to relevant non-diabetes guidelines. In the presence of angina or other ischaemic heart disease, ß -adrenergic blockers should be considered (for use of insulin in these circumstances, see R165.) ","Management of adults who have had myocardial infarction or stroke","D","CG15AdultS16"
"CG10R1.1.1.1","Effective care involves a partnership between patients and professionals and all decision  making should be shared. (D)","Partnership between patients & professionals","","CG10S1"
"CG10R1.1.1.2","The role that any informal carers of the person with diabetes has in providing care and receiving information to allow them to fulfil this role should be discussed with the person with diabetes, and any decisions about this should be that of the person with diabetes. (D)","Role of informal carers","","CG10S1"
"CG10R1.1.1.3","Arrange recall and annual review as part of ongoing care . (A)","Arrange recall and annual review","","CG10S1"
"CG10R1.1.1.4","Health care professionals and other personnel involved in the assessment of diabetic feet should  receive adequate training. (D) 
","Adequate training for health care professionals","","CG10S1"
"CG10R1.1.1.5","As part of annual review, trained personnel should examine patients’ feet to detect risk factors  for ulceration. (A)","Examine patients' feet as part of annual review","","CG10S1"
"CG10R1.1.1.6","To improve knowledge, encourage beneficial self-care and minimise inadvertent self-harm, healthcare professionals should discuss and agree with patients a management plan that includes appropriate foot care education.*(B) 
","Discuss management plan with patients","","CG10S1"
"CG10R1.1.1.7","Extra vigilance should be used for people who are older (over 70 years of age), have had diabetes for a long time, have poor vision, have poor footwear, smoke, are socially deprived or live alone. ©","When extra vigilence should be used","","CG10S1"
"CG10R1.1.1.8","Health care professionals may need to discuss, agree and make special arrangements for people who are housebound or living in care or nursing homes to ensure equality of access to foot care  assessments and treatments. (D)","Special arrangements for housebound or those living in care/nursing homes","","CG10S1"
"CG10R1.1.1.9","Structured patient education should be made available to all people with diabetes at the time of initial diagnosis, and then as required on an ongoing basis, based on a formal, regular assessment of need.","Provide structured patient education at time of diabetes diagnosis","","CG10S2"
"CG10R1.1.1.10","Offer patient education on an ongoing basis.[1]","Offer ongoing patient education","","CG10S2"
"CG10R1.1.1.11","Use different patient education approaches until optimal methods appear to be identified in terms of desired outcomes.","Use different patient education approaches","","CG10S2"
"CG10R1.1.2.1","Regular (at least annual) visual inspection of patients’ feet, assessment of foot sensation, and palpation of foot pulses by trained personnel is important for the detection of risk factors for  ulceration. (A) 
","Inspection of patients' feet","","CG10S3"
"CG10R1.1.2.2","Examination of patients’ feet should include: 
testing of foot sensation using a 10 g monofilament 
or vibration (using biothesiometer or calibrated tuning fork) (A) 
palpation of foot pulses (A) 
inspection for any foot deformity 
inspection of footwear (A) 
","What to include in examination of patients' feet","","CG10S3"
"CG10R1.1.2.3","Monofilaments should not be used to test more than ten patients in one session and should be  left for at least 24 hours to ‘recover’ (buckling strength) between sessions. ©","Use of monofilaments","","CG10S3"
"CG10R1.1.2.4","Classify foot risk as: 
low current risk (normal sensation, palpable pulses) 
at increased risk (neuropathy or absent pulses or other risk factor) 
at high risk (neuropathy or absent pulses + deformity or skin changes or previous ulcer) 
ulcerated foot (C) 
","Classification of foot risk","","CG10S3"
"CG10R1.1.2.5","Self-monitoring and inspection of feet by people with diabetes should be encouraged. (D) 
","Self monitoring of feet","","CG10S3"
"CG101.1.3.1","To improve knowledge, encourage beneficial self-care and minimise inadvertent self-harm, healthcare professionals should discuss and agree with patients a management plan that includes appropriate foot care education.* (B)","Care of people at low current risk of foot ulcers ","","CG10S5"
