"Audit ID","Recommendation GUID","AuditCriteria","NumberFulfill","TotalNumber","PercentAchiev","Notes","AuditInfoSourceID","AuditDate"
"12","CG32R1.2.2","Appropriate nutritional plan documented in notes","184","351","52.00","Page 60","1","30-Jun-11"
"13","CG141R1.3.1","Those patients for whom there was NO DELAY in getting to endoscopy","125","139","90.00","Page 66
This is the inverse of the audit, i.e. clincians reported delays in 14 out of the 139","1","30-Jun-11"
"14","CG141R1.5.1","Whether those with variceal bleeding were given terlipressin","34","39","87.00","Page 66

In the 39 patients with variceal bleeding, five did not have terlipressin administered and three were not given antibiotics.

The authors note that all upper GI bleeding in patients with alcoholic liver disease should be assumed to be variceal un","1","30-Jun-11"
"15","CG141R1.5.2","Whether those with variceal bleeding were given antibiotics","36","39","92.00","Page 66

In the 39 patients with variceal bleeding, five did not have terlipressin administered and three were not given antibiotics.

The authors note that all upper GI bleeding in patients with alcoholic liver disease should be assumed to be variceal un","1","30-Jun-11"
"17","CG108R1.1.1.1","Access with echo or other ‘NICE recommended’ imaging","","","82.00","","3","30-Mar-11"
"18","CG108R1.2.2.2","Discharged on ACE inhibitor","","","75.00","Page 18","4","30-Mar-10"
"19","CG108R1.2.2.2","Discharged on ACE inhibitor","","","68.00","Page 14
More likely to have received treatment  if discharged from cardiology than general ward","3","30-Mar-11"
"20","CG108R1.2.2.2","Discharged on ACE inhibitor","","","72.00","Page 17
More likely to have received treatment  if discharged from cardiology than general ward","2","30-Mar-12"
"21","CG108R1.2.2.2","Discharged on beta-blocker","","","60.00","Page 18","4","30-Mar-10"
"22","CG108R1.2.2.2","Discharged on beta-blocker","","","65.00","page 14
More likely to be on beta blocker if discharged from cardiology than general ward","3","30-Mar-11"
"23","CG108R1.2.2.2","Discharged on beta-blocker","","","78.00","Page 17
More likely to be on beta blocker if discharged from cardiology than general ward","2","30-Mar-12"
"24","CG108R1.2.2.14","Discharged on either ACE inhibitor and / or ARB","","","81.00","Page 14
May also relate to recommendation 1.2.2.4","3","30-Mar-11"
"25","CG108R1.2.2.14","Discharged on either ACE inhibitor and / or ARB","","","84.00","Page 17
More likely to have received treatment if discharged from a cardiology compared to a general ward","2","30-Mar-12"
"26","CG108R1.2.2.17","Those with LVSD discharged on loop diuretic","","","85.00","Page 18","4","30-Mar-10"
"27","CG108R1.2.2.17","Those with LVSD discharged on loop diuretic","","","86.00","Page 14
Treatment more likely to be offrede to those discharge from cardiology compared to general ward","3","30-Mar-11"
"28","CG108R1.2.2.17","Those with LVSD discharged on loop diuretic","","","89.00","Page 17
Treatment more likely to be offrede to those discharge from cardiology compared to general ward","2","30-Mar-12"
"29","CG108R1.2.2.17","Those with LVSD discharged on a thiazide diuretic","","","4.30","Page 14
Treatment more likely to be offrede to those discharge from cardiology compared to general ward","3","30-Mar-11"
"30","CG108R1.2.2.17","Those with LVSD discharged on a thiazide diuretic","","","4.00","Page 17
Treatment more likely to be offrede to those discharge from cardiology compared to general ward","2","30-Mar-12"
"31","CG108R1.5.9.2","Referred to palliative care during first admission in the audit period","","","4.00","recorded as 'less than 4%'
See also recommendation 1.5.9.3","4","30-Mar-10"
"32","CG108R1.5.9.2","Referred to palliative care during first admission in the audit period","","","4.00","recorded as 'less than 4%'
See also recommendation 1.5.9.3","3","30-Mar-11"
"33","CG108R1.5.9.2","Referred to palliative care during first admission in the audit period","","","3.10","Page 18
See also recommendation 1.5.9.3","2","30-Mar-12"
"34","CG108R1.5.9.2","referred to palliative care during a re-admission within the audit period","","","6.00","See also recommendation 1.5.9.3","3","30-Mar-11"
"35","CG108R1.5.9.2","referred to palliative care during a re-admission within the audit period","","","7.30","See also recommendation 1.5.9.3","2","30-Mar-12"
"36","CG43R1.2.6.1","Patient selection in accordance with NICE criteria","295","345","85.51","unknown for 36 patients

Privately funded patients 173/396 (43.7%) 
BMI range for privately funded patients 28-62 (median 42)

NHS funded patients 223/396 (56.3%) 
BMI range for NHS patients 32-78 (median 49)

Hospitals operating on patients outside NICE ","5","31-Aug-10"
"37","CG43R1.2.6.1","Adequate dietetic input, as decided by the assessors, prior to surgery","195","210","92.86","Dietary assessment judged adequate by case assessors","5","31-Aug-10"
"38","CG43R1.2.6.9","Number of private units offering multidisciplinary team meeting prior to deciding if patient is ready for surgery","18","61","29.51","Page 25
10 of these private units also operate on NHS patients","5","31-Aug-10"
"39","CG43R1.2.6.9","Number of NHS units operating a multidisciplinary team meeting prior to deciding if a patient is ready for surgery","39","45","86.67","Page 25","5","31-Aug-10"
"40","CG43R1.2.6.9","Proportion of patients discussed at MDT","251","377","66.58","Page 25","5","31-Aug-10"
"41","CG43R1.2.6.9","Bariatric surgeon follow up available on site","95","95","100.00","Page 30","5","31-Aug-10"
"42","CG43R1.2.6.9","Dietician follow up available on site","86","95","90.53","Page 25","5","31-Aug-10"
"43","CG43R1.2.6.9","Specialist Nurse follow up available on site","58","95","61.05","Page 30","5","31-Aug-10"
"44","CG43R1.2.6.9","Psychologist / Psychiatrist follow up available on site","24","95","25.26","Page 30","5","31-Aug-10"
"45","CG43R1.2.6.9","Unit that performs bariatric surgery has appropriate surgical equipment for morbidly obese patients","100","104","96.15","Page 31
4 units did not have appropriate equipment","5","31-Aug-10"
"46","CG43R1.2.6.9","Unit that performs bariatric surgery has appropriate anaesthetic equipment for morbidly obese patients","102","105","97.14","Page 31
3 units did not have appropriate equipment","5","31-Aug-10"
"47","CG43R1.2.6.9","Unit that performs bariatric surgery has specialised transfer equipment for morbidly obese patients","98","105","93.33","Page 31
7 units did not have appropriate equipment","5","31-Aug-10"
"48","CG43R1.2.6.9","Unit that performs bariatric surgery has specialist training in place for care of the morbidly obese patient","91","104","87.50","Page 31
13 Hospitals did not have specilaist training in place for care of morbidly obese patients","5","31-Aug-10"
"51","CG92R1.5.7","In units that perform bariatric surgery -availability of appropriately sized anti-embolism stockings for morbidly obese patients","95","105","90.48","Page 32","5","31-Aug-10"
"52","CG68R1.2.4.1","Assessed and referred for carotid endarterectomy within 2 days of onset of symptoms","646","3564","18.13","Page 26
NOTE this is 2 days not 7 days - proportion within 7 days of onset of symptoms is not recorded in the audit","8","30-Sep-09"
"53","CG68R1.2.4.1","Assessed and referred for carotid endarterectomy within 14 days of onset of symptoms","2255","3564","63.27","Note this is 14 days NOT 7 days - proportion within 7 days of onset of symptoms is not recorded in the audit","8","30-Sep-09"
"54","CG68R1.2.4.1","Had surgery within 14 days of onset of symptoms that triggered referral","1005","3044","33.02","Page 26
Analysis of delays in those who did not have surgery within 2 weeks (each case may have more than 1 reason)

- Delayed presentation 18%
- Delay in referral 40%
- Delay in carotid imaging 9%
- Delay due to limited availability of surgeon 9%
- Delay","8","30-Sep-09"
"55","CG68R1.2.4.1","Assessed and referred for carotid endarterectomy within 14 days of onset of symptoms","2394","3501","68.38","Page 23 
This is 14 days NOT 7 days -  proportion within 7 days of onset of symptoms is not recorded in the audit","7","30-Sep-10"
"56","CG68R1.2.4.1","Assessed and referred for carotid endarterectomy within 2 days of onset of symptoms","904","3501","25.82","Page 23.
NOTE - this is 2 days NOT 7 days - proportion within 7 days of onset of symptoms is not recorded in the audit","7","30-Sep-10"
"57","CG68R1.2.4.1","Had surgery within 14 days of onset of symptoms that triggered referral","1420","3577","39.70","Page 23

Analysis of delays in those who did not have surgery within 2 weeks (each case may have more than 1 reason)


- Delayed presentation 25%
- Delay in referral 41%
- Delay in carotid imaging 13%
- Delay due to limited availability of surgeon 6%
- De","7","30-Sep-10"
"58","CG68R1.2.4.1","Assessed and referred for carotid endarterectomy within 14 days of onset of symptoms","3149","4112","76.58","Page 34
Note this is 14 days NOT 7 days - proportion within 7 days of onset of symptoms is not recorded in the audit","6","30-Sep-11"
"59","CG68R1.2.4.1","Assessed and referred for carotid endarterectomy within 2 days of onset of symptoms","1341","4112","32.61","Page 34
NOTE this is 2 days not 7 days - proportion within 7 days of onset of symptoms is not recorded in the audit","6","30-Sep-11"
"60","CG68R1.2.4.1","Had surgery within 14 days of onset of symptoms that triggered referral","2047","4194","48.81","Page 34

Analysis of delays in those who did not have surgery within 2 weeks (each case may have more than 1 reason)


- Delayed presentation 26%
- Delay in referral 41%
- Delay in carotid imaging 11%
- Delay due to limited availability of surgeon 10%
- D","6","30-Sep-11"
"61","CG48R1.3.1.1","Percentage of patients given ACE inhibitor (pts with contraindications are excluded)","51320","","97.00","Page 54","9","31-Mar-12"
"62","CG48R1.3.1.1","Percentage of patients given statins  (pts with contraindications are excluded)","55058","","97.00","Page 54","9","31-Mar-12"
"63","CG48R1.3.1.1","Percentage of patients given aspirin (pts with contraindications are excluded)","54770","","99.00","Page 54","9","31-Mar-12"
"64","CG48R1.3.1.1","Percentage of patients given beta-blocker (pts with contraindications are excluded)","50137","","96.00","Page 54","9","31-Mar-12"
"65","CG94R1.3.6","Patients discharged on clopidogrel. (Patients are excluded if there is a contro-indication to the drug)","53436","","96.00","Page 54","9","31-Mar-12"
"66","CG167R1.1.4","Primary PCI within 90 mins of arrival at heart attack centre","17965","","92.00","Page 28
Data for England Wales and Belfast Only. Denominator not known, only number who achieved and overall percentage were explained in the report","9","31-Mar-12"
"67","CG167R1.1.4","Primary PCI within 150 mins of calling for help For direct admission to heart attack centre","13444","","89.00","Page 28
Data for England Wales and Belfast Only. Denominator not known, only number who achieved and overall percentage were explained in the report","9","31-Mar-12"
"68","CG167R1.1.4","Primary PCI within 150 mins of calling for help for those who required secondary transport to heart attack centre","2540","","51.00","Page 28
Data for England Wales and Belfast Only. Denominator not known, only number who achieved and overall percentage were explained in the report","9","31-Mar-12"
"69","CG167R1.1.4","Primary PCI within 150 mins of calling for help for all patients","15922","","83.00","Page 28
Data for England Wales and Belfast Only. Denominator not known, only number who achieved and overall percentage were explained in the report","9","31-Mar-12"
"70","CG131R1.1.2.1","CT scan reported with date equal to or before operation date. Data is aggergated across all cancer subtypes","23404","28112","83.25","Page 21","12","31-Jul-10"
"71","CG131R1.1.2.1","CT scan reported with date equal to or before operation date. Data is aggergated across all cancer subtypes","","","88.00","Page 74","11","31-Jul-11"
"72","CG131R1.1.2.1","CT scan reported with date equal to or before operation date. Data is aggergated across all cancer subtypes","","","89.10","Page 53","10","30-Mar-12"
"73","CG131R1.2.4.1","Open surgery with no laparoscopic element","11555","17814","64.86","Data is aggregated across all cancer subtypes","12","31-Jul-10"
"74","CG131R1.2.4.1","Laparoscopically started surgery then converted to open for any reason","1093","17814","6.14","Data is aggregated across all cancer subtypes","12","31-Jul-10"
"75","CG131R1.2.4.1","Laparoscopic surgery throughout","5166","17814","29.00","Data is aggregated across all cancer subtypes","12","31-Jul-10"
"76","CG131R1.2.4.1","Open surgery with no laparoscopic element","10258","17607","58.26","Page 20
Data is aggregated across all cancer subtypes","11","31-Jul-11"
"77","CG131R1.2.4.1","Laparoscopically started surgery then converted to open for any reason","1230","17607","6.99","Page 20
Data is aggregated across all cancer subtypes","11","31-Jul-11"
"78","CG131R1.2.4.1","Laparoscopic surgery throughout","6119","17607","34.75","Page 20
Data is aggregated across all cancer subtypes","11","31-Jul-11"
"79","CG131R1.2.4.1","Open surgery with no laparoscopic element","7529","14820","50.80","Page 26
Data is aggregated across all cancer subtypes","10","30-Mar-12"
"80","CG131R1.2.4.1","Laparoscopically started surgery then converted to open for any reason","1220","14820","8.23","Page 26
Data is aggregated across all cancer subtypes","10","30-Mar-12"
"81","CG131R1.2.4.1","Laparoscopic surgery throughout","6071","14820","40.96","Page 26
Data is aggregated across all cancer subtypes","10","30-Mar-12"
"82","CG42R1.1.1.4","Hospitals with a care plan in place","75","210","35.71","Page 28","13","31-Oct-12"
"83","CG42R1.1.1.4","Hospitals with a care plan in development","106","210","50.48","Page 28","13","31-Oct-12"
"84","CG42R1.1.1.4","Case notes that had a section dedicated to gathering information from the carere within the care assessment notes","3589","7987","44.94","Page 53","13","31-Oct-12"
"85","CG42R1.1.1.4","Hospitals that had a formal system in place for gathering information pertinent to caring for a patient with dementia","155","210","73.81","Page 53","13","31-Oct-12"
"86","CG103R1.1.1.1","Hospitals that reported having written procedures in place for multidisciplinary asessessment, including mental state","203","210","96.67","Page 35","13","31-Oct-12"
"87","CG103R1.1.1.1","Casenotes reviewed that included evidence that a stadardised mental staus test had been carried out","3548","7069","50.19","Page 35","13","31-Oct-12"
"88","CG103R1.1.1.1","Hospitals that had a policy or guideline in place to ensure that patients with dementia are assessed for delerium at presentation","115","210","54.76","Page 35","13","31-Oct-12"
"89","CG103R1.1.1.1","Hospitals that had a policy or guideline in development to ensure that patients with dementia are assessed for delerium at presentation","86","210","40.95","Page 35","13","31-Oct-12"
"90","CG103R1.1.1.1","Case notes that showed that an initial assessment for delerium had been carried out","3000","7698","38.97","","13","31-Oct-12"
"91","CG103R1.1.2","Hospitals that had a formal system in place to ensure that behaviour changes associated with delerium are clinically assessed by a heathcare professional trained and competent in the management of delerium","103","210","49.05","Page 35","13","31-Oct-12"
"92","CG103R1.1.2","Hospitals that had a formal system in development to ensure that behaviour changes associated with delerium are clinically assessed by a heathcare professional trained and competent in the management of delerium","91","210","43.33","Page 35","13","31-Oct-12"
"93","CG103R1.1.2","Patients who, based on the case notes, had experienced delerium, who were subsequently assessed by a healthcare professional","1497","1747","85.69","Page 35","13","31-Oct-12"
"94","CG131R1.1.2.2","MRI scan reported with a date equal to or before operation date","3678","4483","82.04","Page 39","12","31-Jul-10"
"95","CG131R1.1.2.2","MRI scan reported with a date equal to or before operation date","3950","4684","84.33","Page 47","11","31-Jul-11"
"96","CG131R1.1.2.2","MRI scan reported with a date equal to or before operation date","3679","4615","79.72","Page 39","10","30-Mar-12"
"97","CG42R1.10.1.4","Proportion of hospitals that reported having procedures for assessing nutritional asessment","","","100.00","Page 36","13","31-Oct-12"
"98","CG42R1.10.1.4","Proportion of case notes analysed that had evidence of nutritional assessement being performed","","","89.00","Page 36","13","31-Oct-12"
"99","CG42R1.10.1.4","Proportion of case notes analysed that had evidence of BMI / weight being recorded","","","81.00","Page 36","13","31-Oct-12"
"100","CG42R1.10.1.4","Proportion of hospitals that reported procedures in place for recording BMI / weight","","","99.00","Page 36","13","31-Oct-12"
"101","CG42R1.7.3.3","Proportion of hospitals reporting having a protocol in place governing the use of interventions for patients who present with behavioural and psychological symptoms of dementia","128","210","60.95","Page 38","13","31-Oct-12"
"102","CG42R1.7.3.3","proportion of hospitals report having a protocol in development  governing the use of interventions for patients who present with behavioural and psychological symptoms of dementia","63","210","30.00","Page 38","13","31-Oct-12"
"103","CG42R1.7.3.3","Of those that had a protocol (n=128), the proportion of hospitals that was in line with NICE recommendations for the administration of anti-psychotic drugs","","128","84.00","","13","31-Oct-12"
"104","CG42R1.7.3.3","Of those that had a protocol (n=128),the prportion where the protocol included the risks that must be taken into account before sedation or restraint","","128","88.00","","13","31-Oct-12"
"105","CG42R1.7.3.1","Of those that had a protocol (n=128), the proportion that had restraint and sedation used only as a final option","","","97.00","Page 39","13","31-Oct-12"
"106","CG42R1.7.3.1","Of those that had a protocol (n=128), the proprtion that outlined physical causes which may cause challenging behaviour in people with dementia","","","95.00","Page 39","13","31-Oct-12"
"107","CG42R1.7.3.1","Of those that had a protocol (n=128), the proportion that outlined environmental factors that may contribute to challenging behaviour","","","91.00","","13","31-Oct-12"
"108","CG42R1.7.3.2","of those that had a protocol (n=128), the proportion of hospitals that outlined the possibilities of de-escalation techniques","","128","94.00","Page 39","13","31-Oct-12"
"109","CG65R1.4.2","Patients who did not experience hypothermia on the intensive care unit","","","32.40","This data relates to ICU patients and NOT just to peri-operative patients. The guidance defines post-op as 24 hours. It is not clear from the abstract whether this definition carries through or whether the entire stay on ICU is being audited. Data is over","14","30-Jun-10"
"110","CG65R1.4.3","Nproportion of hypothermic patients on ICU whio had heating devices used","","","18.80","This data relates to ICU patients and NOT just to peri-operative patients. The guidance defines post-op as 24 hours. It is not clear from the abstract whether this definition carries through or whether the entire stay on ICU is being audited. Data is over","14","30-Jun-10"
"111","CG19R1.1.1","Proportion of practices that recall based on patient need","4","117","3.42","82/117 (70%) routinely recalled at 6 months. Factors favouring compliance: NHS practice, female GDP","15","31-Jan-10"
"112","CG19R1.1.3","Proportion of practices that carry out basic peridontal examination at every recall","35","117","29.91","Note that 48/117 (40%) responded that they carried out BPE every 6 months

Proportion of risk assessments that were carried out at every review:
•	76/117 (65%) for caries
•	97/117 (83%) periodontal disease
•	95/117 (81%) for oral cancer","15","31-Jan-10"
"113","CG101R1.2.1.2","Proportion of pharmacists who asked about the smoking status of those they dispensed COPD medication to","203","1037","19.58","","16","30-Apr-07"
"114","CG101R1.2.1.2","Proportion of those pharmacists who ascertained smoking status, offered advice on the additional risk of continuing to smoke","189","203","93.10","","16","30-Apr-07"
"115","CG101R1.2.1.2","Proportion ofpharamcists that did not ascertain smoking status who offered advice about continuing risk of smoking","30","834","3.60","","16","30-Apr-07"
"116","CG101R1.2.1.2","Proportion of pharamcists overall who offered some form of advice regarding either cessation or risks of continuing to smoke when dispensing COPD medications","233","1037","22.47","Having read the NICE guidance (overall 490/1037 had read it) was associated with being twice as likely to offer advice compared to those that had not read the guideline","16","30-Apr-07"
"117","CG78R1.3.5.1","Proportion of patients receiving medication specifically FOR the  treatment of BPD","51","127","40.16","Reasons for prescribing: emotional instability, impulsivity and self-harm

0/14 consultants agreed entirely or to a large extent with this  recommendation
5/14 agreed to some extent with this recommendation
0/14 not sure about the recommendation
9/14 disa","17","01-Jan-10"
"118","CG78R1.3.5.1","Patients  receiving medication specifically FOR the symptoms of both ASPD and BPD","26","127","20.47","Reasons for prescribing: emotional instability, impulsivity and self-harm","17","01-Jan-10"
"119","CG77R1.4.3.1","Patients RECEIVING medication specifically FOR the treatment of ASPD","6","127","4.72","Reasons for prescribing emotional instability, impulsivity and self-harm

2/14 consultants agreed entirely or to a large extent with this recommendation
6/14 agreed to some extent with this recommendation
1/14 not sure about the recommendation
5/14 disagr","17","01-Jan-10"
"120","QS6R3","Proprtio of patients that had one or more care plannign sessions during the year","","","76.00","Regional Compliance:
97% Tower hamlets
83% Kirklees 
79% North Tyneside
73% West Northumberland","18",""
"121","IPG285R1.2","Number of anaesthetists been on a specific training course for ultrasound guided nerve blocks","","","50.00","Notes: 
The guidance does not specify an accredited course, and on the job training may be as acceptable

42% of clinicians had encountered a situation where they could not use ultrasound due to lack of availability","19","31-Dec-11"
"122","CG24R1.10.2","Proportion of patients discussed at MDT","40","41","97.56","","20","31-Dec-09"
"123","CG24R1.8.2","Proportion of patients with limited disease that received chemotherapy","9","11","81.82","Notes: 

The abstract reports that ‘chemotherapy rates exceed the recommended 62% suggesting prompt diagnosis and timely referral…” I am unsure where this 62% figure comes from","20","31-Dec-09"
"124","CG121R1.4.49","Proportion of patients with extensive disease were given chemotherapy. Note this included 5 who had subsequent palliative sequential thoracic radiotherapy","22","30","73.33","Notes:

This guideline was not published at the time of this audit, it was CG24. 

The abstract talks about ‘chemotherapy rates exceed the recommended 62% suggesting prompt diagnosis and timely referral…” I am unsure where this 62% figure comes from","20","31-Dec-09"
"125","TA162R1.1","Proportion of patients who had received at least first line chemotherapy before being given erlotinib","26","26","100.00","","21","01-Jan-11"
"126","CG56R1.4.2.10","patients, who by NICE criteria should have been scanned, received a scan","25","74","33.78","The main ‘NICE indications’ that were present but did not result in a scan were repeated vomiting or dangerous mechanism of injury alone. There may be a reluctance to expose children to ionising radiation for perceived ‘soft indications’","22","31-Dec-07"
"127","CG43R1.2.6.9","Proportion of surgeons who were a member of an MDT","","61","98.00","","23","01-Jan-10"
"128","CG43R1.2.6.9","Proportion of surgeons who report that their patients routinely get information on skin redundancy after bariatric surgery","","61","66.00","","23","01-Jan-10"
"129","CG43R1.2.6.9","Proportion of surgeons that report that their patients were able to access a plastic surgeon","","61","22.00","","23","01-Jan-10"
"130","CG43R1.2.6.9","Proportion of surgeons that reported restricted access to a plastic surgeon based on locally determined criteria.","","38","61.00","NOTE: These criteria varied across the county. 

NOTE: The article reports: Some PCTs required patients to sign a waiver agreeing that in being accepted for bariatric surgery, they would not automatically get plastic surgery after weight loss

NOTE: refer","23","01-Jan-10"
"131","CG65R1.2.2","Proportion of patients with at least  one cotton sheet plus two blankets, or a duvet.","32","100","32.00","","24","30-Sep-08"
"132","CG65R1.2.2","proportion of patients with at least  one cotton sheet plus two blankets, or a duvet.","52","100","52.00","","24","30-Sep-09"
"133","CG65R1.2.2","Proportion of patients with at least  one cotton sheet plus two blankets, or a duvet.","84","100","84.00","","24","30-Sep-10"
"134","CG65R1.3.1","Patients who had temperature measured before induction and then every 30 minutes","10","100","10.00","","24","30-Sep-08"
"135","CG65R1.3.1","Patients who had temperature measured before induction and then every 30 minutes","79","100","79.00","","24","30-Sep-09"
"136","CG65R1.3.1","Patients who had temperature measured before induction and then every 30 minutes","92","100","92.00","","24","30-Sep-10"
"137","CG65R1.3.6","Patients who had fluid of 500 ml or more warmed","31","100","31.00","","24","30-Sep-08"
"138","CG65R1.3.6","Patients who had fluid of 500 ml or more warmed","51","100","51.00","","24","30-Sep-09"
"139","CG65R1.3.6","Patients who had fluid of 500 ml or more warmed","44","100","44.00","","24","30-Sep-10"
"140","CG65R1.4.1","Patient’s temperature measured and documented on  admission to the recovery room and then every 15 minutes.","92","100","92.00","","24","30-Sep-08"
"141","CG65R1.4.1","Patient’s temperature measured and documented on  admission to the recovery room and then every 15 minutes.","96","100","96.00","","24","30-Sep-09"
"142","CG65R1.4.1","Patient’s temperature measured and documented on  admission to the recovery room and then every 15 minutes.","99","100","99.00","","24","30-Sep-10"
"143","CG95R1.3.4.7","Patients who should have been offered cardiac CT by NICE criteria who actually got cardiac CT","50","79","63.29","","25","30-Jun-11"
"144","CG95R1.3.4.7","Patients who should have been offered cardiac CT by NICE criteria who actually got cardiac CT","57","79","72.15","","25","31-Dec-11"
"145","CG65R1.3.1","Patients who had temperature measured before induction and then every 30 minutes","","","28.00","No month so assumed to be 1/1/2008","26","01-Jan-08"
"146","CG65R1.3.1","Patients who had temperature measured before induction and then every 30 minutes","","","65.00","No day / month so assumed to be 1/1/2009","26","01-Jan-09"
"147","CG65R1.3.1","Patients who had temperature measured before induction and then every 30 minutes","","","100.00","No day/month so assumed to be 1/1/2011","26","01-Jan-11"
"148","IPG285R1.1","Cases that used ultrasound guidance for the nerve block","24","100","24.00","This abstract states that ‘NICE recommendation’ that USS be used for siting regional blocks. There is no 'recommendation' that it be used","28",""
"149","CG66R1.1.1.1","Patients reported having been given general information about diabetes","","","68.30","62.8% found this information useful. For breakdown of different domains of information, refer to the source (paper is freely available on the web)","30","31-Dec-08"
"150","CG66R1.1.1.1","Patients reported they had been offered an opportunity to attend an education or training course","","","20.60","","30","31-Dec-08"
"151","CG66R1.13.1","Patients reported annual retinal photography","","","89.20","","30","31-Dec-08"
"152","CG66R1.2.1.4","Patients given advice about weight management","","","47.80","","30","31-Dec-08"
"153","CG66R1.2.1.4","patients reported being given personal advice about their physical activity almost always, or some of the time","","","48.10","","30","31-Dec-08"
"154","CG66R1.4.3","Patients given information about how they could manage their diabetes","","","64.00","","30","31-Dec-08"
"155","CG10R1.1.1.3","Patients reported having had their bare feet examined (presumably in the last year)","","","85.40","","30","31-Dec-08"
"156","TA121R1.2","Patients who were selected for maximal resection and who subsequently received received carmustine wafers","94","285","32.98","Of those who did not receive it, 74/191 had intra-operative reasons (large exposure of CSF / ventricles), 30/191 had intra-operative decision that resection would be sub-maximal. Surgeons preference was cited in 77/191 cases, no MDT decision in 34/191 pat","31","31-Oct-10"
"157","CG55R1.3.2","Women who had their birth plan discussed with them","","","68.00","","32","31-Dec-10"
"158","CG55R1.6.6","Women who had an initial set of observations recorded","","","95.00","","32","31-Dec-10"
"159","CG55R1.6.6","Women who had an initial abdominal examination recorded","","","85.00","","32","31-Dec-10"
"160","CG55R1.6.11","Women who had a partogram recorded","","","82.00","The audit result has been inverted. The audit actually reports that 18% of women did not have a partogram recorded. NOTE: 30% of women had an incompletely filled in partogram","32","31-Dec-10"
"161","CG55R1.12.3","Women who had a systematic assessment of the CTG","","","77.00","The audit result has been inverted. The actual audit states 23% of women having NOT had appropriate systematic assessment","32","31-Dec-10"
"162","CG132R1.4.1.1","Planned Caesarian sections that took place at 39 weeks gestation or longer","45","60","75.00","5/15 early planned sections had medical reasons, 2 had social reasons and there was no reason recorded in the remaining 8","33","28-Feb-11"
"163","CG132R1.1.2.1","Patients that had a single previous C-section who had evidence of discussion of risks / benefits of VBAC vs C-section","","","41.00","This audit was against the previously published standard in CG13 which read:
1.1.2.3 When considering a CS, there should be discussion on the benefits and risks of CS compared with vaginal birth specific to the woman and her pregnancy.","34","31-Dec-10"
"164","CG122R1.1.2.1","Patients who had CA125 requested in primary care before introduction of CG122","","","71.40","","35","30-Sep-11"
"165","CG122R1.1.2.1","Patients who had CA125 requested in primary care after introduction of CG122","","","87.00","","35","30-Sep-11"
"166","CG44R1.2.4","Women referred to secondary care who had an examination recorded from their primary care contact","4","42","9.52","31/42 women had examination findings recorded in secondary care","36",""
"167","CG44R1.2.8","Women who had a full blood count recorded in primary care","","","50.00","","36",""
"168","CG44R1.5.2","Women who were asked if they wish to conceive in primary care","9","42","21.43","","36",""
"169","CG44R1.5.2","Women who were asked if they wish to conceive in primary care","27","42","64.29","","36",""
"171","CG62R1.3.2.4","proportion of women overall who took vitamin D supplementation","","","52.00","Routine supplementation with vitamin D is not actually recomemdned by NCIE and is covered in the research recommendations of the guidance:

4.5 Vitamin D 

There is a need for research into the effectiveness of routine vitamin D supplementation for pregna","37","05-Apr-11"
